id,firstName,lastName,season,competition,gamesPlayed,goals,minutes
322990,benjamin,kallman,22/23,Ekstraklasa,21,4,1388
322990,benjamin,kallman,22/23,Fortuna Puchar Polski,2,0,147
322990,benjamin,kallman,2022,Suomen Cup,2,1,116
322990,benjamin,kallman,2022,Veikkausliiga,12,7,1065
322990,benjamin,kallman,2022,Liigacup,6,6,439
322990,benjamin,kallman,21/22,UECL Kwalifikacje,2,1,180
322990,benjamin,kallman,2021,Veikkausliiga Championship Group,5,4,442
322990,benjamin,kallman,2021,Veikkausliiga,22,10,1769
322990,benjamin,kallman,2021,Suomen Cup,5,0,462
322990,benjamin,kallman,20/21,Kwalifikacje do Ligi Europy,1,0,89
322990,benjamin,kallman,2020,Veikkausliiga,10,4,609
322990,benjamin,kallman,2020,Suomen Cup,1,0,28
322990,benjamin,kallman,2020,Eliteserien,10,0,650
322990,benjamin,kallman,2019,NM-Cup,2,1,180
322990,benjamin,kallman,2019,Eliteserien,11,3,707
322990,benjamin,kallman,18/19,Superligaen Releg.,4,0,308
322990,benjamin,kallman,18/19,Reserveligaen Spring,3,1,164
322990,benjamin,kallman,18/19,Superligaen Relegation round,6,2,477
322990,benjamin,kallman,18/19,Superliga,1,0,15
322990,benjamin,kallman,18/19,Premiership,18,1,1013
322990,benjamin,kallman,18/19,SFA Cup,0,0,0
322990,benjamin,kallman,18/19,League Cup,1,0,44
322990,benjamin,kallman,2018,Veikkausliiga,20,8,1610
322990,benjamin,kallman,2018,Suomen Cup,7,8,581
322990,benjamin,kallman,2017,Veikkausliiga,31,9,1810
322990,benjamin,kallman,2017,Suomen Cup,6,3,355
322990,benjamin,kallman,2016,Rel. Veikkausliiga,0,0,0
322990,benjamin,kallman,2016,Ykkönen,7,3,624
322990,benjamin,kallman,2016,Veikkausliiga,22,2,1154
322990,benjamin,kallman,2016,Suomen Cup,3,2,237
322990,benjamin,kallman,2016,Liigacup,4,1,203
322990,benjamin,kallman,2015,Ykkönen,25,5,1514
322990,benjamin,kallman,2015,Suomen Cup,3,0,300
322990,benjamin,kallman,2014,Kakkonen Eteläinen,3,0,26
