id,firstName,lastName,season,date,sourceTeam,destTeam,marketValue,price
113575,david,jablonsky,19/20,2019-07-01,Levski Sofia,Cracovia,1250000,free transfer
113575,david,jablonsky,16/17,2017-01-09,Tom Tomsk,Levski Sofia,400000,free transfer
113575,david,jablonsky,16/17,2016-07-01,Teplice,Tom Tomsk,500000,free transfer
113575,david,jablonsky,15/16,2016-06-30,Banik Sokolov,Teplice,500000,End of loan
113575,david,jablonsky,15/16,2016-01-01,Teplice,Banik Sokolov,500000,loan transfer
113575,david,jablonsky,11/12,2012-06-30,Usti nad Labem,Teplice,100000,End of loan
113575,david,jablonsky,11/12,2011-08-01,Teplice,Usti nad Labem,100000,loan transfer
113575,david,jablonsky,10/11,2011-06-30,Caslav,Teplice,100000,End of loan
113575,david,jablonsky,10/11,2011-01-01,Teplice,Caslav,100000,loan transfer
113575,david,jablonsky,09/10,2009-07-01,FK Teplice U19,Teplice,0,0
