id,name,season,competition,gamesPlayed,goals
113575,david-jablonsky,2022,Ekstraklasa,10,1
113575,david-jablonsky,2022,Fortuna Puchar Polski,2,0
113575,david-jablonsky,2021,Ekstraklasa,7,0
113575,david-jablonsky,2020,Ekstraklasa,2,1
113575,david-jablonsky,2020,Kwalifikacje do Ligi Europy,1,0
113575,david-jablonsky,2020,Fortuna Puchar Polski,1,0
113575,david-jablonsky,2019,Ekstraklasa,28,1
113575,david-jablonsky,2019,Fortuna Puchar Polski,5,3
113575,david-jablonsky,2019,Kwalifikacje do Ligi Europy,1,0
113575,david-jablonsky,2018,efbet Liga,20,1
113575,david-jablonsky,2018,Kwalifikacje do Ligi Europy,2,0
113575,david-jablonsky,2018,Efbet liga - Championship gr.,1,0
113575,david-jablonsky,2018,Bulgarian Cup,1,0
113575,david-jablonsky,2017,efbet Liga,22,8
113575,david-jablonsky,2017,Efbet liga - Championship gr.,7,1
113575,david-jablonsky,2017,Kwalifikacje do Ligi Europy,4,0
113575,david-jablonsky,2017,Bulgarian Cup,4,0
113575,david-jablonsky,2017,UECL Playoffs Efbet Liga,1,0
113575,david-jablonsky,2016,efbet Liga,7,1
113575,david-jablonsky,2016,Premier Liga,6,0
113575,david-jablonsky,2016,U19 M-Liga,5,2
113575,david-jablonsky,2016,Efbet liga - Championship gr.,5,1
113575,david-jablonsky,2016,UECL Playoffs Efbet Liga,1,0
113575,david-jablonsky,2016,Puchar Rosji,1,0
113575,david-jablonsky,2015,Fortuna Liga,14,1
113575,david-jablonsky,2015,FNL,12,1
113575,david-jablonsky,2015,MOL Cup,1,0
113575,david-jablonsky,2014,Fortuna Liga,27,3
113575,david-jablonsky,2014,MOL Cup,6,0
113575,david-jablonsky,2013,Fortuna Liga,25,3
113575,david-jablonsky,2012,Fortuna Liga,18,0
113575,david-jablonsky,2012,MOL Cup,1,0
113575,david-jablonsky,2011,FNL,21,1
113575,david-jablonsky,2010,Fortuna Liga,-,0
113575,david-jablonsky,2009,Fortuna Liga,-,0
113575,david-jablonsky,2008,Fortuna Liga,1,0
