id,name,dates,marketValue
316445,matej-rodin,2015-06-09,200000
316445,matej-rodin,2015-12-05,250000
316445,matej-rodin,2016-03-13,150000
316445,matej-rodin,2018-07-30,300000
316445,matej-rodin,2019-02-24,425000
316445,matej-rodin,2019-06-18,450000
316445,matej-rodin,2019-12-29,350000
316445,matej-rodin,2020-04-07,300000
316445,matej-rodin,2020-07-26,500000
316445,matej-rodin,2021-01-18,500000
316445,matej-rodin,2021-05-20,400000
316445,matej-rodin,2021-12-30,550000
316445,matej-rodin,2022-04-06,700000
316445,matej-rodin,2022-06-13,800000
316445,matej-rodin,2022-11-15,1200000
