id,name,season,competition,gamesPlayed,goals
214250,otar-kakabadze,2022,Ekstraklasa,15,0
214250,otar-kakabadze,2022,Fortuna Puchar Polski,2,1
214250,otar-kakabadze,2021,Ekstraklasa,19,3
214250,otar-kakabadze,2021,3 Liga - Grupa IV,2,0
214250,otar-kakabadze,2021,Fortuna Puchar Polski,1,0
214250,otar-kakabadze,2020,LaLiga2,16,0
214250,otar-kakabadze,2020,Puchar Króla,3,0
214250,otar-kakabadze,2020,Super League,1,0
214250,otar-kakabadze,2020,Swiss Cup,-,0
214250,otar-kakabadze,2019,Super League,20,0
214250,otar-kakabadze,2019,Kwalifikacje do Ligi Europy,4,0
214250,otar-kakabadze,2019,Swiss Cup,4,1
214250,otar-kakabadze,2018,Super League,12,0
214250,otar-kakabadze,2018,Swiss Cup,2,0
214250,otar-kakabadze,2018,LaLiga2,2,0
214250,otar-kakabadze,2018,1. Liga gr. 2,1,0
214250,otar-kakabadze,2017,LaLiga2,36,1
214250,otar-kakabadze,2016,LaLiga2,6,0
214250,otar-kakabadze,2016,Superligaen Relegation round,5,0
214250,otar-kakabadze,2016,Superligaen,4,0
214250,otar-kakabadze,2016,Superligaen Playoffs,3,0
214250,otar-kakabadze,2016,Puchar Króla,3,0
214250,otar-kakabadze,2015,Erovnuli Liga (bis 2016/17),17,1
214250,otar-kakabadze,2015,David Kipiani Cup,5,0
214250,otar-kakabadze,2015,Georgian Super Cup,1,0
214250,otar-kakabadze,2014,Erovnuli Liga (bis 2016/17),23,0
214250,otar-kakabadze,2014,David Kipiani Cup,6,1
214250,otar-kakabadze,2014,Georgian Super Cup,1,0
214250,otar-kakabadze,2013,1,14.08.2013,W
