id,name,season,competition,gamesPlayed,goals
325448,sebastian-madejski,2022,3 Liga - Grupa IV,4,0
325448,sebastian-madejski,2022,Fortuna Puchar Polski,-,0
325448,sebastian-madejski,2021,eWinner 2 liga,28,0
325448,sebastian-madejski,2021,Fortuna Puchar Polski,3,0
325448,sebastian-madejski,2021,Baraże o udział w 1 lidze,2,0
325448,sebastian-madejski,2020,eWinner 2 liga,31,0
325448,sebastian-madejski,2019,eWinner 2 liga,25,0
325448,sebastian-madejski,2019,Fortuna Puchar Polski,-,0
325448,sebastian-madejski,2018,eWinner 2 liga,22,0
325448,sebastian-madejski,2017,eWinner 2 liga,33,0
325448,sebastian-madejski,2017,Fortuna Puchar Polski,1,0
325448,sebastian-madejski,2016,eWinner 2 liga,19,0
325448,sebastian-madejski,2016,Fortuna Puchar Polski,1,0
325448,sebastian-madejski,2015,Ekstraklasa,-,0
325448,sebastian-madejski,2014,Ekstraklasa,-,0
325448,sebastian-madejski,2014,Fortuna Puchar Polski,-,0
325448,sebastian-madejski,2013,Ekstraklasa,-,0
