id,name,season,competition,gamesPlayed,goals
384438,sebastian-strozik,2022,3 Liga - Grupa IV,17,10
384438,sebastian-strozik,2022,Ekstraklasa,1,0
384438,sebastian-strozik,2021,Fortuna 1 Liga,28,1
384438,sebastian-strozik,2021,Fortuna Puchar Polski,1,0
384438,sebastian-strozik,2020,3 Liga - Grupa IV,26,4
384438,sebastian-strozik,2020,Ekstraklasa,6,0
384438,sebastian-strozik,2020,Fortuna Puchar Polski,2,0
384438,sebastian-strozik,2019,Ekstraklasa,7,0
384438,sebastian-strozik,2019,Fortuna Puchar Polski,3,0
384438,sebastian-strozik,2018,Ekstraklasa,20,1
384438,sebastian-strozik,2018,Fortuna Puchar Polski,1,0
384438,sebastian-strozik,2017,CLJ - Grupa Wschodnia,21,12
384438,sebastian-strozik,2017,Ekstraklasa,6,0
384438,sebastian-strozik,2017,CLJ - Runda Finałowa,4,1
384438,sebastian-strozik,2016,CLJ - Grupa Wschodnia,23,9
384438,sebastian-strozik,2015,CLJ - Grupa Zachodnia,12,0
