id,name,season,competition,gamesPlayed,goals
212806,sergiu-hanca,2022,SuperLiga,8,1
212806,sergiu-hanca,2022,UECL Kwalifikacje,4,0
212806,sergiu-hanca,2022,Cupa României,2,0
212806,sergiu-hanca,2022,Ekstraklasa,-,0
212806,sergiu-hanca,2021,Ekstraklasa,31,4
212806,sergiu-hanca,2021,Fortuna Puchar Polski,1,0
212806,sergiu-hanca,2020,Ekstraklasa,21,4
212806,sergiu-hanca,2020,Fortuna Puchar Polski,4,0
212806,sergiu-hanca,2020,Kwalifikacje do Ligi Europy,1,0
212806,sergiu-hanca,2019,Ekstraklasa,34,9
212806,sergiu-hanca,2019,Fortuna Puchar Polski,5,0
212806,sergiu-hanca,2019,Kwalifikacje do Ligi Europy,2,0
212806,sergiu-hanca,2018,SuperLiga,18,2
212806,sergiu-hanca,2018,Ekstraklasa,16,2
212806,sergiu-hanca,2018,Cupa României,1,0
212806,sergiu-hanca,2017,SuperLiga,23,3
212806,sergiu-hanca,2017,Liga 1 - Relegation group,10,3
212806,sergiu-hanca,2017,Cupa României,3,0
212806,sergiu-hanca,2017,Kwalifikacje do Ligi Europy,2,0
212806,sergiu-hanca,2016,SuperLiga,24,4
212806,sergiu-hanca,2016,Liga 1 - Championship group,9,5
212806,sergiu-hanca,2016,Cupa Ligii,4,3
212806,sergiu-hanca,2016,Cupa României,3,0
212806,sergiu-hanca,2015,SuperLiga,20,0
212806,sergiu-hanca,2015,Liga 1 - Championship group,8,0
212806,sergiu-hanca,2015,Cupa României,6,0
212806,sergiu-hanca,2015,Cupa Ligii,2,0
212806,sergiu-hanca,2015,Kwalifikacje do Ligi Europy,1,0
212806,sergiu-hanca,2015,Supercupa României,1,0
212806,sergiu-hanca,2014,SuperLiga,7,0
212806,sergiu-hanca,2014,Cupa României,-,0
212806,sergiu-hanca,2013,Liga II - Seria II,13,1
212806,sergiu-hanca,2013,Liga II - Seria II Play-Off,9,1
212806,sergiu-hanca,2013,Cupa României,1,0
212806,sergiu-hanca,2012,Liga II - Seria II,22,2
212806,sergiu-hanca,2012,Cupa României,2,0
212806,sergiu-hanca,2011,Liga 2,9,0
212806,sergiu-hanca,2011,Liga II - Seria II,1,0
212806,sergiu-hanca,2010,Liga 2,2,0
