id,name,dates,marketValue
340977,virgil-ghita,2016-12-20,50000
340977,virgil-ghita,2017-06-16,50000
340977,virgil-ghita,2017-12-26,100000
340977,virgil-ghita,2018-06-13,350000
340977,virgil-ghita,2018-12-22,450000
340977,virgil-ghita,2019-06-17,1000000
340977,virgil-ghita,2019-12-20,1000000
340977,virgil-ghita,2020-04-07,900000
340977,virgil-ghita,2020-08-04,1200000
340977,virgil-ghita,2020-12-17,1300000
340977,virgil-ghita,2021-06-02,1300000
340977,virgil-ghita,2021-12-21,1400000
340977,virgil-ghita,2022-06-13,1500000
340977,virgil-ghita,2022-11-15,1500000
