id,firstName,lastName,season,competition,gamesPlayed,goals,minutes
262699,amadej,marosa,22/23,Ekstraklasa,5,0,107
262699,amadej,marosa,22/23,Fortuna Puchar Polski,2,1,60
262699,amadej,marosa,21/22,Protathlima Cyta Relegation Round,8,4,476
262699,amadej,marosa,21/22,Kypello Kyprou,4,0,316
262699,amadej,marosa,21/22,Protathlima Cyta,6,2,380
262699,amadej,marosa,21/22,Prva Liga,17,6,1128
262699,amadej,marosa,21/22,Liga Konferencji,6,2,186
262699,amadej,marosa,21/22,Pokal Slovenije,1,0,72
262699,amadej,marosa,21/22,Kwalifikacje do Ligi Europy,3,0,49
262699,amadej,marosa,21/22,Kwalifikacje do Ligi Mistrzów,4,0,24
262699,amadej,marosa,20/21,Prva Liga,32,5,1843
262699,amadej,marosa,20/21,Pokal Slovenije,1,0,90
262699,amadej,marosa,20/21,Kwalifikacje do Ligi Europy,3,1,21
262699,amadej,marosa,19/20,Prva Liga,36,13,2483
262699,amadej,marosa,19/20,Pokal Slovenije,5,4,377
262699,amadej,marosa,19/20,Kwalifikacje do Ligi Europy,2,0,163
262699,amadej,marosa,18/19,Prva Liga,28,8,1158
262699,amadej,marosa,18/19,Pokal Slovenije,5,3,307
262699,amadej,marosa,17/18,Druga Liga,30,13,1770
262699,amadej,marosa,17/18,Pokal Slovenije,3,0,77
262699,amadej,marosa,12/13,Prva Liga,2,0,9
