id,name,season,competition,gamesPlayed,goals
174522,erik-janza,2022,Ekstraklasa,18,2
174522,erik-janza,2022,Fortuna Puchar Polski,3,0
174522,erik-janza,2021,Ekstraklasa,32,1
174522,erik-janza,2021,Fortuna Puchar Polski,2,0
174522,erik-janza,2020,Ekstraklasa,28,0
174522,erik-janza,2020,Fortuna Puchar Polski,3,0
174522,erik-janza,2019,Ekstraklasa,36,0
174522,erik-janza,2019,Fortuna Puchar Polski,-,0
174522,erik-janza,2018,SuperSport HNL,19,0
174522,erik-janza,2018,Hrvatski nogometni kup,2,0
174522,erik-janza,2017,Protathlima Cyta,23,2
174522,erik-janza,2017,Protathlima Cyta Relegation Round,10,0
174522,erik-janza,2016,Prva Liga,16,0
174522,erik-janza,2016,Kwalifikacje do Ligi Europy,6,0
174522,erik-janza,2016,Fortuna Liga,3,0
174522,erik-janza,2016,Pokal Slovenije,2,0
174522,erik-janza,2015,Prva Liga,11,0
174522,erik-janza,2015,Pokal Slovenije,2,0
174522,erik-janza,2015,Kwalifikacje do Ligi Mistrzów,-,0
174522,erik-janza,2014,Prva Liga,25,0
174522,erik-janza,2014,Pokal Slovenije,3,0
174522,erik-janza,2013,Prva Liga,35,4
174522,erik-janza,2013,Pokal Slovenije,3,0
174522,erik-janza,2013,Kwalifikacje do Ligi Europy,2,0
174522,erik-janza,2012,Prva Liga,32,0
174522,erik-janza,2012,Kwalifikacje do Ligi Europy,6,0
174522,erik-janza,2012,Liga Europy,2,0
174522,erik-janza,2012,Pokal Slovenije,1,0
174522,erik-janza,2011,Prva Liga,30,0
174522,erik-janza,2010,Druga Liga,25,1
