id,name,season,competition,gamesPlayed,goals
607377,jean-jules,2022,Ekstraklasa,17,0
607377,jean-jules,2022,Fortuna Puchar Polski,3,0
607377,jean-jules,2021,Ekstraklasa,16,0
607377,jean-jules,2021,Fortuna Puchar Polski,4,0
607377,jean-jules,2021,Primera Federación - Gr. II,1,0
607377,jean-jules,2020,LaLiga2,28,1
607377,jean-jules,2019,2ª B - Grupo I,25,0
607377,jean-jules,2019,Puchar Króla,2,0
607377,jean-jules,2018,2ª B - Grupo IV,9,0
607377,jean-jules,2018,LaLiga2,2,0
607377,jean-jules,2018,Puchar Króla,1,0
