id,name,season,competition,gamesPlayed,goals,minutes
153638,rafal-janicki,22/23,Ekstraklasa,8,0,720
153638,rafal-janicki,22/23,Fortuna Puchar Polski,1,0,90
153638,rafal-janicki,21/22,Ekstraklasa,33,2,2783
153638,rafal-janicki,21/22,Fortuna Puchar Polski,2,0,210
153638,rafal-janicki,20/21,Ekstraklasa,13,3,1170
153638,rafal-janicki,20/21,Ekstraklasa,4,0,360
153638,rafal-janicki,20/21,Fortuna Puchar Polski,1,0,90
153638,rafal-janicki,19/20,Ekstraklasa,34,1,2957
153638,rafal-janicki,19/20,Fortuna Puchar Polski,1,0,90
153638,rafal-janicki,18/19,Ekstraklasa,21,0,1890
153638,rafal-janicki,18/19,3 Liga - Grupa II,3,0,270
153638,rafal-janicki,18/19,Fortuna Puchar Polski,1,0,120
153638,rafal-janicki,18/19,Kwalifikacje do Ligi Europy,5,0,405
153638,rafal-janicki,17/18,Ekstraklasa,24,0,1882
153638,rafal-janicki,17/18,3 Liga - Grupa II,1,0,90
153638,rafal-janicki,17/18,Kwalifikacje do Ligi Europy,2,0,180
153638,rafal-janicki,16/17,Ekstraklasa,28,1,2392
153638,rafal-janicki,16/17,Fortuna Puchar Polski,2,0,149
153638,rafal-janicki,15/16,Ekstraklasa,35,2,2935
153638,rafal-janicki,15/16,Fortuna Puchar Polski,2,0,180
153638,rafal-janicki,14/15,Ekstraklasa,34,0,2973
153638,rafal-janicki,14/15,Fortuna Puchar Polski,1,0,90
153638,rafal-janicki,13/14,Ekstraklasa,27,1,2404
153638,rafal-janicki,13/14,Fortuna Puchar Polski,3,0,270
153638,rafal-janicki,12/13,Ekstraklasa,24,0,2062
153638,rafal-janicki,12/13,Fortuna Puchar Polski,1,0,120
153638,rafal-janicki,11/12,Ekstraklasa,25,0,2184
153638,rafal-janicki,10/11,Ekstraklasa,3,0,270
