id,name,dates,marketValue
214078,richard-jensen,2015-11-21,50000
214078,richard-jensen,2016-02-04,50000
214078,richard-jensen,2016-07-14,50000
214078,richard-jensen,2017-02-01,75000
214078,richard-jensen,2018-01-16,150000
214078,richard-jensen,2018-03-26,400000
214078,richard-jensen,2018-06-11,400000
214078,richard-jensen,2019-01-20,400000
214078,richard-jensen,2019-07-02,325000
214078,richard-jensen,2020-04-07,300000
214078,richard-jensen,2020-06-28,275000
214078,richard-jensen,2020-12-30,225000
214078,richard-jensen,2021-10-11,250000
214078,richard-jensen,2022-01-11,350000
214078,richard-jensen,2022-06-22,350000
214078,richard-jensen,2022-09-28,500000
214078,richard-jensen,2022-11-15,600000
