id,name,season,competition,gamesPlayed,goals
214078,richard-jensen,2022,Ekstraklasa,16,1
214078,richard-jensen,2022,Fortuna Puchar Polski,2,0
214078,richard-jensen,2021,Keuken Kampioen Divisie,32,2
214078,richard-jensen,2021,KNVB beker,1,0
214078,richard-jensen,2021,Play-Offs Promotie/Deg.,1,0
214078,richard-jensen,2020,Keuken Kampioen Divisie,23,2
214078,richard-jensen,2020,Play-Offs Promotie/Deg.,2,0
214078,richard-jensen,2019,Keuken Kampioen Divisie,8,2
214078,richard-jensen,2019,Beloften Eredivisie,2,0
214078,richard-jensen,2019,Beloften Runda Wstępna,2,0
214078,richard-jensen,2018,Keuken Kampioen Divisie,19,1
214078,richard-jensen,2018,KNVB beker,3,0
214078,richard-jensen,2018,Beloften Eerste Divisie,1,0
214078,richard-jensen,2017,Eredivisie,10,0
214078,richard-jensen,2017,Derde Divisie Sobota,5,0
214078,richard-jensen,2017,KNVB beker,2,0
214078,richard-jensen,2016,Jack’s League,23,0
214078,richard-jensen,2015,Beloften Eredivisie,13,0
214078,richard-jensen,2015,Eredivisie,-,0
214078,richard-jensen,2014,U19 Eredivisie,11,0
214078,richard-jensen,2014,Runda U19 Eredivisie,4,0
214078,richard-jensen,2013,2,13.08.2013,D
214078,richard-jensen,2013,2,15.08.2013,D
214078,richard-jensen,2013,5,03.12.2013,W
214078,richard-jensen,2013,6,05.12.2013,W
214078,richard-jensen,2013,9,09.01.2014,D
214078,richard-jensen,2013,6,11.01.2014,D
214078,richard-jensen,2013,1,01.04.2014,W
214078,richard-jensen,2013,1,03.04.2014,W
214078,richard-jensen,2012,1,07.08.2012,D
214078,richard-jensen,2012,Runda kwalifikacyjna,08.10.2012,W
214078,richard-jensen,2012,15,06.03.2013,W
214078,richard-jensen,2012,2,03.05.2013,D
214078,richard-jensen,2012,4,26.06.2013,W
214078,richard-jensen,2011,1,22.01.2012,W
214078,richard-jensen,2011,1,23.01.2012,D
214078,richard-jensen,2011,1,25.01.2012,W
