id,firstName,lastName,season,competition,gamesPlayed,goals,minutes
653596,camilo,mena,22/23,UECL Kwalifikacje,2,0,158
653596,camilo,mena,2022,Virsliga,35,14,2631
653596,camilo,mena,21/22,Puchar Lotwy,2,0,147
653596,camilo,mena,21/22,UECL Kwalifikacje,2,0,172
653596,camilo,mena,2021,Virsliga,22,1,1190
653596,camilo,mena,20/21,Puchar Lotwy,2,0,40
653596,camilo,mena,2020,Liga DIMAYOR Liguilla,2,0,130
653596,camilo,mena,2020,Copa Colombia,1,0,90
653596,camilo,mena,2020,Liga Dimayor,10,0,376
653596,camilo,mena,2019,Torneo DIMAYOR II,2,2,180
653596,camilo,mena,2019,Copa Colombia,2,0,99
653596,camilo,mena,2019,Torneo DIMAYOR I,3,0,124
653596,camilo,mena,2018,Copa Águila,2,0,105
