id,name,dates,marketValue
140540,fedor-%C4%8Cernych,2010-03-27,50000
140540,fedor-%C4%8Cernych,2010-05-04,100000
140540,fedor-%C4%8Cernych,2010-12-06,250000
140540,fedor-%C4%8Cernych,2011-07-06,250000
140540,fedor-%C4%8Cernych,2011-11-20,200000
140540,fedor-%C4%8Cernych,2012-06-07,300000
140540,fedor-%C4%8Cernych,2012-11-04,500000
140540,fedor-%C4%8Cernych,2013-07-01,500000
140540,fedor-%C4%8Cernych,2013-11-24,500000
140540,fedor-%C4%8Cernych,2015-03-04,600000
140540,fedor-%C4%8Cernych,2015-06-29,700000
140540,fedor-%C4%8Cernych,2016-01-09,600000
140540,fedor-%C4%8Cernych,2016-03-27,600000
140540,fedor-%C4%8Cernych,2016-07-23,500000
140540,fedor-%C4%8Cernych,2017-01-20,900000
140540,fedor-%C4%8Cernych,2017-07-04,1350000
140540,fedor-%C4%8Cernych,2018-01-15,1250000
140540,fedor-%C4%8Cernych,2018-06-05,1500000
140540,fedor-%C4%8Cernych,2018-12-19,1800000
140540,fedor-%C4%8Cernych,2019-06-13,1500000
140540,fedor-%C4%8Cernych,2019-12-22,1000000
140540,fedor-%C4%8Cernych,2020-04-07,800000
140540,fedor-%C4%8Cernych,2020-07-28,700000
140540,fedor-%C4%8Cernych,2021-01-18,600000
140540,fedor-%C4%8Cernych,2021-05-20,600000
140540,fedor-%C4%8Cernych,2021-12-30,600000
140540,fedor-%C4%8Cernych,2022-04-06,500000
140540,fedor-%C4%8Cernych,2022-06-13,400000
140540,fedor-%C4%8Cernych,2022-09-28,300000
140540,fedor-%C4%8Cernych,2022-11-15,300000
