season,date,sourceTeam,destTeam,marketValue,price
22/23,2022-07-01,Jagiellonia,Qarabag FK,400000,0
21/22,2022-06-30,Qarabag FK,Jagiellonia,400000,End of loan
21/22,2022-01-12,Jagiellonia,Qarabag FK,450000,loan transfer
21/22,2021-12-31,FC Dila,Jagiellonia,450000,End of loan
19/20,2020-01-28,Jagiellonia,FC Dila,450000,loan transfer
19/20,2020-01-27,Recre Granada,Jagiellonia,450000,End of loan
19/20,2019-07-01,Jagiellonia,Recre Granada,450000,loan transfer
18/19,2019-06-30,FC Dila,Jagiellonia,450000,End of loan
18/19,2018-07-27,Jagiellonia,FC Dila,50000,loan transfer
18/19,2018-07-13,Jagiellonia U19,Jagiellonia,50000,0
17/18,2018-06-30,Podlasie B.P.,Jagiellonia U19,50000,End of loan
17/18,2017-08-31,Jagiellonia U19,Podlasie B.P.,50000,loan transfer
15/16,2016-01-01,Dinamo Tbilisi,Jagiellonia U19,0,free transfer
15/16,2015-08-01,Dinamo Academy,Dinamo Tbilisi,0,0
