id,name,dates,marketValue
407491,luka-gugeshashvili,2016-01-09,50000
407491,luka-gugeshashvili,2018-08-28,150000
407491,luka-gugeshashvili,2019-01-04,250000
407491,luka-gugeshashvili,2019-05-04,450000
407491,luka-gugeshashvili,2019-09-06,450000
407491,luka-gugeshashvili,2020-04-07,400000
407491,luka-gugeshashvili,2020-08-05,400000
407491,luka-gugeshashvili,2020-12-10,350000
407491,luka-gugeshashvili,2021-01-18,350000
407491,luka-gugeshashvili,2021-04-30,350000
407491,luka-gugeshashvili,2021-09-30,350000
407491,luka-gugeshashvili,2021-12-17,450000
407491,luka-gugeshashvili,2022-05-23,400000
407491,luka-gugeshashvili,2022-12-26,500000
