id,name,season,competition,gamesPlayed,goals
618392,oliwier-wojciechowski,2022,Ekstraklasa,7,0
618392,oliwier-wojciechowski,2022,3 Liga - Grupa I,4,0
618392,oliwier-wojciechowski,2022,Fortuna Puchar Polski,2,0
618392,oliwier-wojciechowski,2021,3 Liga - Grupa I,15,1
618392,oliwier-wojciechowski,2021,Ekstraklasa,6,0
618392,oliwier-wojciechowski,2021,CLJ,1,1
618392,oliwier-wojciechowski,2020,3 Liga - Grupa I,4,0
618392,oliwier-wojciechowski,2020,CLJ,1,0
618392,oliwier-wojciechowski,2019,13,21.10.2019,D
618392,oliwier-wojciechowski,2019,2,23.10.2019,D
618392,oliwier-wojciechowski,2019,3,25.10.2019,D
618392,oliwier-wojciechowski,2019,4,19.11.2019,W
618392,oliwier-wojciechowski,2019,5,21.11.2019,W
618392,oliwier-wojciechowski,2018,1,06.10.2018,D
