id,name,season,competition,gamesPlayed,goals
152693,tomas-prikryl,2022,Ekstraklasa,17,1
152693,tomas-prikryl,2022,Fortuna Puchar Polski,1,0
152693,tomas-prikryl,2021,Ekstraklasa,28,6
152693,tomas-prikryl,2021,Fortuna Puchar Polski,1,0
152693,tomas-prikryl,2020,Ekstraklasa,18,2
152693,tomas-prikryl,2020,Fortuna Puchar Polski,1,0
152693,tomas-prikryl,2019,Ekstraklasa,31,2
152693,tomas-prikryl,2019,Fortuna Puchar Polski,1,0
152693,tomas-prikryl,2018,Fortuna Liga,28,7
152693,tomas-prikryl,2018,Fortuna Liga Placement Gr.,5,2
152693,tomas-prikryl,2018,MOL Cup,1,0
152693,tomas-prikryl,2017,Fortuna Liga,29,3
152693,tomas-prikryl,2017,Kwalifikacje do Ligi Europy,4,0
152693,tomas-prikryl,2017,MOL Cup,3,1
152693,tomas-prikryl,2016,Fortuna Liga,26,5
152693,tomas-prikryl,2016,MOL Cup,4,0
152693,tomas-prikryl,2016,Kwalifikacje do Ligi Europy,-,0
152693,tomas-prikryl,2015,Fortuna Liga,22,4
152693,tomas-prikryl,2015,MOL Cup,5,2
152693,tomas-prikryl,2014,Fortuna Liga,19,4
152693,tomas-prikryl,2014,Liga Europy,4,0
152693,tomas-prikryl,2014,Kwalifikacje do Ligi Mistrzów,4,1
152693,tomas-prikryl,2014,MOL Cup,2,1
152693,tomas-prikryl,2014,Superpohar,1,0
152693,tomas-prikryl,2013,Fortuna Liga,21,2
152693,tomas-prikryl,2013,MOL Cup,5,3
152693,tomas-prikryl,2013,Kwalifikacje do Ligi Europy,2,0
152693,tomas-prikryl,2012,Fortuna Liga,22,2
152693,tomas-prikryl,2012,Liga Europy,8,0
152693,tomas-prikryl,2012,Kwalifikacje do Ligi Europy,2,0
152693,tomas-prikryl,2011,Fortuna Liga,22,3
152693,tomas-prikryl,2011,MOL Cup,5,1
152693,tomas-prikryl,2010,Fortuna Liga,16,3
152693,tomas-prikryl,2010,MOL Cup,-,0
