id,name,dates,marketValue
47594,zlatan-alomerovic,2010-08-26,25000
47594,zlatan-alomerovic,2011-08-11,50000
47594,zlatan-alomerovic,2012-01-19,75000
47594,zlatan-alomerovic,2012-02-05,100000
47594,zlatan-alomerovic,2012-07-04,200000
47594,zlatan-alomerovic,2013-01-12,200000
47594,zlatan-alomerovic,2013-06-27,200000
47594,zlatan-alomerovic,2014-07-09,200000
47594,zlatan-alomerovic,2014-11-05,200000
47594,zlatan-alomerovic,2015-02-03,200000
47594,zlatan-alomerovic,2015-06-30,400000
47594,zlatan-alomerovic,2016-02-10,350000
47594,zlatan-alomerovic,2016-07-21,300000
47594,zlatan-alomerovic,2018-01-15,250000
47594,zlatan-alomerovic,2018-07-02,300000
47594,zlatan-alomerovic,2019-01-24,300000
47594,zlatan-alomerovic,2019-06-28,300000
47594,zlatan-alomerovic,2020-01-14,200000
47594,zlatan-alomerovic,2020-08-17,300000
47594,zlatan-alomerovic,2021-01-18,300000
47594,zlatan-alomerovic,2021-05-20,300000
47594,zlatan-alomerovic,2021-10-14,500000
47594,zlatan-alomerovic,2021-12-30,350000
47594,zlatan-alomerovic,2022-06-13,450000
47594,zlatan-alomerovic,2022-11-15,350000
