id,firstName,lastName,season,competition,gamesPlayed,goals,minutes
47594,zlatan,alomerovic,22/23,Ekstraklasa,21,0,4
47594,zlatan,alomerovic,22/23,Fortuna Puchar Polski,0,0,0
47594,zlatan,alomerovic,21/22,Ekstraklasa,14,0,3
47594,zlatan,alomerovic,21/22,Ekstraklasa,6,0,3
47594,zlatan,alomerovic,21/22,Fortuna Puchar Polski,1,0,0
47594,zlatan,alomerovic,20/21,Ekstraklasa,2,0,0
47594,zlatan,alomerovic,20/21,Fortuna Puchar Polski,2,0,2
47594,zlatan,alomerovic,19/20,Fortuna Puchar Polski,6,0,1
47594,zlatan,alomerovic,19/20,Ekstraklasa,7,0,3
47594,zlatan,alomerovic,19/20,Kwalifikacje do Ligi Europy,0,0,0
47594,zlatan,alomerovic,19/20,Superpuchar,0,0,0
47594,zlatan,alomerovic,18/19,Ekstraklasa,9,0,2
47594,zlatan,alomerovic,18/19,Fortuna Puchar Polski,4,0,2
47594,zlatan,alomerovic,17/18,Ekstraklasa,21,0,7
47594,zlatan,alomerovic,17/18,Fortuna Puchar Polski,4,0,2
47594,zlatan,alomerovic,15/16,2. Bundesliga,1,0,0
47594,zlatan,alomerovic,15/16,Regionalliga Südwest,1,0,0
47594,zlatan,alomerovic,15/16,DFB-Pokal,0,0,0
47594,zlatan,alomerovic,14/15,3. Liga,32,0,10
47594,zlatan,alomerovic,14/15,Bundesliga,0,0,0
47594,zlatan,alomerovic,14/15,DFB-Pokal,0,0,0
47594,zlatan,alomerovic,14/15,DFL-Supercup,0,0,0
47594,zlatan,alomerovic,13/14,DFB-Pokal,0,0,0
47594,zlatan,alomerovic,13/14,3. Liga,31,0,9
47594,zlatan,alomerovic,13/14,Bundesliga,0,0,0
47594,zlatan,alomerovic,13/14,Liga Mistrzów,0,0,0
47594,zlatan,alomerovic,12/13,3. Liga,33,0,9
47594,zlatan,alomerovic,12/13,Bundesliga,0,0,0
47594,zlatan,alomerovic,11/12,RL West,15,0,6
47594,zlatan,alomerovic,10/11,RL West,1,0,0
47594,zlatan,alomerovic,09/10,U19-Bundesliga West,20,0,10
47594,zlatan,alomerovic,09/10,3. Liga,0,0,0
47594,zlatan,alomerovic,08/09,U19-Bundesliga Endrunde,0,0,0
47594,zlatan,alomerovic,08/09,DFB-Pokal der Junioren,3,0,0
47594,zlatan,alomerovic,08/09,U19-Bundesliga West,12,0,7
47594,zlatan,alomerovic,07/08,U17-Bundesliga Endrunde,3,0,0
47594,zlatan,alomerovic,07/08,U17-Bundesliga West,22,0,6
47594,zlatan,alomerovic,06/07,U19-Bundesliga West,1,0,0
