id,name,season,competition,gamesPlayed,goals
403915,dalibor-takac,2022,Ekstraklasa,15,0
403915,dalibor-takac,2022,Fortuna Puchar Polski,2,0
403915,dalibor-takac,2021,Fortuna Liga,16,1
403915,dalibor-takac,2021,Fortuna 1 Liga,11,1
403915,dalibor-takac,2021,Baraze o udzial w Ekstraklasie,2,0
403915,dalibor-takac,2021,Slovnaft Cup,1,0
403915,dalibor-takac,2020,Fortuna Liga,17,1
403915,dalibor-takac,2020,Fort. Liga - Releg. G.,3,0
403915,dalibor-takac,2020,Slovnaft Cup,2,1
403915,dalibor-takac,2020,Kwalifikacje do Ligi Europy,1,0
403915,dalibor-takac,2019,Fortuna Liga,21,3
403915,dalibor-takac,2019,Slovnaft Cup,7,2
403915,dalibor-takac,2019,Fort. Liga - Champ. G.,4,0
403915,dalibor-takac,2019,Kwalifikacje do Ligi Europy,2,0
403915,dalibor-takac,2019,Fortuna L. - Conf. L. Playoff,2,1
403915,dalibor-takac,2019,II. Liga,1,1
403915,dalibor-takac,2018,Fortuna Liga,21,2
403915,dalibor-takac,2018,Fort. Liga - Champ. G.,10,0
403915,dalibor-takac,2018,Slovnaft Cup,2,0
403915,dalibor-takac,2017,Fortuna Liga,15,2
403915,dalibor-takac,2017,Kwalifikacje do Ligi Europy,6,0
403915,dalibor-takac,2017,Fort. Liga - Champ. G.,6,0
403915,dalibor-takac,2017,Slovnaft Cup,5,2
403915,dalibor-takac,2017,Fortuna L. - Conf. L. Playoff,1,0
403915,dalibor-takac,2016,II. Liga East,16,1
403915,dalibor-takac,2016,Fortuna Liga,10,0
403915,dalibor-takac,2016,Slovnaft Cup,1,0
403915,dalibor-takac,2015,II. Liga Promotion,10,1
403915,dalibor-takac,2015,II. Liga East,8,2
403915,dalibor-takac,2015,Slovnaft Cup,2,0
403915,dalibor-takac,2014,II. Liga East Relegation,1,0
403915,dalibor-takac,2014,II. Liga East,-,0
