id,firstName,lastName,season,date,sourceTeam,destTeam,marketValue,price
228087,evgeniy,shikavka,21/22,2022-01-26,Shakhter K.,Korona Kielce,350000,free transfer
228087,evgeniy,shikavka,21/22,2021-07-17,Dinamo Minsk,Shakhter K.,400000,free transfer
228087,evgeniy,shikavka,19/20,2020-01-15,AE Larisa,Dinamo Minsk,200000,free transfer
228087,evgeniy,shikavka,18/19,2019-01-01,FK Slutsk,AE Larisa,400000,free transfer
228087,evgeniy,shikavka,17/18,2017-08-03,Krumkachi,FK Slutsk,250000,free transfer
228087,evgeniy,shikavka,14/15,2014-08-01,Slavia,Krumkachi,0,loan transfer
228087,evgeniy,shikavka,13/14,2014-03-01,Slonim,Slavia,0,free transfer
228087,evgeniy,shikavka,12/13,2013-01-01,BATE II,Slonim,0,free transfer
228087,evgeniy,shikavka,12/13,2012-12-31,Polotskgaz P.,BATE II,0,End of loan
228087,evgeniy,shikavka,12/13,2012-07-01,BATE II,Polotskgaz P.,0,loan transfer
