id,name,dates,marketValue
225158,filipe-oliveira,2012-06-13,100000
225158,filipe-oliveira,2013-10-17,100000
225158,filipe-oliveira,2017-11-05,100000
225158,filipe-oliveira,2018-02-06,350000
225158,filipe-oliveira,2018-06-12,350000
225158,filipe-oliveira,2019-02-11,250000
225158,filipe-oliveira,2019-06-28,175000
225158,filipe-oliveira,2019-12-30,300000
225158,filipe-oliveira,2020-11-01,225000
225158,filipe-oliveira,2021-02-23,175000
225158,filipe-oliveira,2021-06-29,175000
225158,filipe-oliveira,2022-01-13,150000
225158,filipe-oliveira,2022-06-23,250000
