id,name,season,competition,gamesPlayed,goals,minutes
121154,konrad-forenc,22/23,Ekstraklasa,13,0,2
121154,konrad-forenc,22/23,Fortuna Puchar Polski,0,0,0
121154,konrad-forenc,21/22,Baraze o udzial w Ekstraklasie,2,0,1
121154,konrad-forenc,21/22,1 Liga,33,0,9
121154,konrad-forenc,21/22,Fortuna Puchar Polski,0,0,0
121154,konrad-forenc,20/21,Ekstraklasa,0,0,0
121154,konrad-forenc,20/21,Fortuna Puchar Polski,2,0,1
121154,konrad-forenc,20/21,3 Liga - Grupa III,1,0,0
121154,konrad-forenc,19/20,Ekstraklasa,18,0,5
121154,konrad-forenc,19/20,Fortuna Puchar Polski,2,0,0
121154,konrad-forenc,18/19,Ekstraklasa,14,0,5
121154,konrad-forenc,18/19,3 Liga - Grupa III,4,0,2
121154,konrad-forenc,18/19,Fortuna Puchar Polski,0,0,0
121154,konrad-forenc,17/18,3 Liga - Grupa III,4,0,1
121154,konrad-forenc,17/18,Ekstraklasa,0,0,0
121154,konrad-forenc,17/18,Fortuna Puchar Polski,1,0,0
121154,konrad-forenc,16/17,Ekstraklasa,3,0,0
121154,konrad-forenc,16/17,Fortuna Puchar Polski,1,0,0
121154,konrad-forenc,16/17,Kwalifikacje do Ligi Europy,0,0,0
121154,konrad-forenc,15/16,Ekstraklasa,15,0,2
121154,konrad-forenc,15/16,Fortuna Puchar Polski,0,0,0
121154,konrad-forenc,14/15,1 Liga,33,0,20
121154,konrad-forenc,14/15,Fortuna Puchar Polski,2,0,1
121154,konrad-forenc,13/14,2 Liga - Grupa zachodnia,15,0,3
121154,konrad-forenc,13/14,1 Liga,3,0,0
121154,konrad-forenc,13/14,Fortuna Puchar Polski,1,0,0
121154,konrad-forenc,12/13,1 Liga,13,0,1
121154,konrad-forenc,11/12,Ekstraklasa,0,0,0
121154,konrad-forenc,10/11,Ekstraklasa,0,0,0
