id,firstName,lastName,season,competition,gamesPlayed,goals,minutes
598274,marcel,zapytowski,22/23,Ekstraklasa,8,0,1
598274,marcel,zapytowski,22/23,Fortuna Puchar Polski,2,0,0
598274,marcel,zapytowski,22/23,3 Liga - Grupa IV,3,0,1
598274,marcel,zapytowski,21/22,Baraze o udzial w Ekstraklasie,0,0,0
598274,marcel,zapytowski,21/22,1 Liga,1,0,0
598274,marcel,zapytowski,21/22,Fortuna Puchar Polski,3,0,0
598274,marcel,zapytowski,20/21,1 Liga,10,0,2
598274,marcel,zapytowski,20/21,3 Liga - Grupa IV,3,0,0
598274,marcel,zapytowski,20/21,1 Liga,11,0,2
598274,marcel,zapytowski,20/21,Fortuna Puchar Polski,1,0,0
598274,marcel,zapytowski,19/20,Baraże o udział w 1 lidze,2,0,1
598274,marcel,zapytowski,19/20,eWinner 2 liga,13,0,6
598274,marcel,zapytowski,18/19,Ekstraklasa,2,0,1
