id,name,season,competition,gamesPlayed,goals,minutes
381069,marcus-godinho,22/23,Ekstraklasa,2,0,32
381069,marcus-godinho,2022,MLS,23,0,1018
381069,marcus-godinho,2022,Canadian Championship,2,0,98
381069,marcus-godinho,2021,MLS Cup Playoffs,1,0,65
381069,marcus-godinho,2021,MLS,4,0,113
381069,marcus-godinho,20/21,3. Liga,5,0,290
381069,marcus-godinho,19/20,3. Liga,25,0,1846
381069,marcus-godinho,19/20,Sachsenpokal,1,0,90
381069,marcus-godinho,18/19,Premiership,12,1,917
381069,marcus-godinho,18/19,SFA Cup,2,0,180
381069,marcus-godinho,17/18,Scottish Premiership Meisterrunde,1,0,60
381069,marcus-godinho,17/18,Premiership,4,0,360
381069,marcus-godinho,17/18,SFA Cup,1,0,90
381069,marcus-godinho,17/18,League Two,7,0,604
381069,marcus-godinho,17/18,Irn-Bru Cup,1,0,90
381069,marcus-godinho,16/17,SFA Cup,0,0,0
381069,marcus-godinho,16/17,Irn-Bru Cup,2,0,169
381069,marcus-godinho,16/17,Kwalifikacje do Ligi Europy,0,0,0
381069,marcus-godinho,2015,USL,4,0,262
