id,name,season,competition,gamesPlayed,goals
261286,mario-zebic,2022,Ekstraklasa,8,0
261286,mario-zebic,2022,SuperLiga,3,0
261286,mario-zebic,2022,Fortuna Puchar Polski,1,0
261286,mario-zebic,2021,Fortuna 1 Liga,26,0
261286,mario-zebic,2021,Fortuna Puchar Polski,3,1
261286,mario-zebic,2021,Baraze o udzial w Ekstraklasie,1,0
261286,mario-zebic,2020,Fortuna 1 Liga,15,0
261286,mario-zebic,2020,Prva Liga,12,0
261286,mario-zebic,2019,Prva Liga,26,1
261286,mario-zebic,2019,Pokal Slovenije,1,0
261286,mario-zebic,2018,Prva NL,8,0
