id,firstName,lastName,dates,marketValue
292130,milosz,trojak,2013-11-04,50000
292130,milosz,trojak,2014-02-13,50000
292130,milosz,trojak,2015-03-04,50000
292130,milosz,trojak,2015-06-29,50000
292130,milosz,trojak,2016-01-09,50000
292130,milosz,trojak,2016-03-27,50000
292130,milosz,trojak,2016-07-23,50000
292130,milosz,trojak,2017-01-20,50000
292130,milosz,trojak,2017-08-15,100000
292130,milosz,trojak,2018-01-24,125000
292130,milosz,trojak,2018-07-02,100000
292130,milosz,trojak,2019-02-20,75000
292130,milosz,trojak,2019-07-17,75000
292130,milosz,trojak,2020-02-27,75000
292130,milosz,trojak,2021-02-23,100000
292130,milosz,trojak,2021-06-29,125000
292130,milosz,trojak,2022-01-13,150000
292130,milosz,trojak,2022-06-23,300000
292130,milosz,trojak,2022-09-28,400000
292130,milosz,trojak,2022-11-15,500000
