id,name,season,competition,gamesPlayed,goals
292130,milosz-trojak,2022,Ekstraklasa,18,1
292130,milosz-trojak,2022,Fortuna Puchar Polski,2,0
292130,milosz-trojak,2021,Fortuna 1 Liga,31,1
292130,milosz-trojak,2021,Fortuna Puchar Polski,1,0
292130,milosz-trojak,2021,Baraze o udzial w Ekstraklasie,1,0
292130,milosz-trojak,2020,Fortuna 1 Liga,30,0
292130,milosz-trojak,2020,Fortuna Puchar Polski,1,0
292130,milosz-trojak,2019,Fortuna 1 Liga,24,2
292130,milosz-trojak,2019,Fortuna Puchar Polski,2,1
292130,milosz-trojak,2018,Fortuna 1 Liga,31,1
292130,milosz-trojak,2018,Fortuna Puchar Polski,2,0
292130,milosz-trojak,2017,Fortuna 1 Liga,27,0
292130,milosz-trojak,2017,Fortuna Puchar Polski,1,0
292130,milosz-trojak,2016,Ekstraklasa,12,0
292130,milosz-trojak,2015,Ekstraklasa,-,0
