id,name,season,competition,gamesPlayed,goals
120892,piotr-malarczyk,2022,Ekstraklasa,4,1
120892,piotr-malarczyk,2022,Fortuna Puchar Polski,1,0
120892,piotr-malarczyk,2022,3 Liga - Grupa IV,1,0
120892,piotr-malarczyk,2021,Fortuna 1 Liga,28,1
120892,piotr-malarczyk,2021,Baraze o udzial w Ekstraklasie,2,0
120892,piotr-malarczyk,2021,Fortuna Puchar Polski,1,1
120892,piotr-malarczyk,2020,Ekstraklasa,14,2
120892,piotr-malarczyk,2020,Fortuna Puchar Polski,2,0
120892,piotr-malarczyk,2020,Kwalifikacje do Ligi Europy,1,0
120892,piotr-malarczyk,2019,Ekstraklasa,11,0
120892,piotr-malarczyk,2019,Fortuna Puchar Polski,1,0
120892,piotr-malarczyk,2019,3 Liga - Grupa IV,1,0
120892,piotr-malarczyk,2018,Ekstraklasa,16,0
120892,piotr-malarczyk,2018,Fortuna Puchar Polski,1,0
120892,piotr-malarczyk,2017,Ekstraklasa,23,1
120892,piotr-malarczyk,2017,Fortuna Puchar Polski,-,0
120892,piotr-malarczyk,2016,Ekstraklasa,20,0
120892,piotr-malarczyk,2015,Ekstraklasa,5,0
120892,piotr-malarczyk,2015,Championship,3,0
120892,piotr-malarczyk,2015,League One,2,0
120892,piotr-malarczyk,2015,FA Cup,2,0
120892,piotr-malarczyk,2015,EFL Cup,1,0
120892,piotr-malarczyk,2014,Ekstraklasa,35,2
120892,piotr-malarczyk,2013,Ekstraklasa,27,3
120892,piotr-malarczyk,2013,Fortuna Puchar Polski,1,0
120892,piotr-malarczyk,2012,Ekstraklasa,25,2
120892,piotr-malarczyk,2012,Fortuna Puchar Polski,2,0
120892,piotr-malarczyk,2011,Ekstraklasa,16,1
120892,piotr-malarczyk,2011,Fortuna Puchar Polski,1,0
120892,piotr-malarczyk,2010,Ekstraklasa,11,0
120892,piotr-malarczyk,2010,Fortuna Puchar Polski,1,0
120892,piotr-malarczyk,2009,Ekstraklasa,6,0
120892,piotr-malarczyk,2009,Fortuna Puchar Polski,1,0
