id,name,season,competition,gamesPlayed,goals,minutes
379714,roberto-corral,22/23,Ekstraklasa,5,0,249
379714,roberto-corral,22/23,Fortuna Puchar Polski,0,0,0
379714,roberto-corral,22/23,3 Liga - Grupa IV,1,0,45
379714,roberto-corral,21/22,Baraze o udzial w Ekstraklasie,2,0,210
379714,roberto-corral,21/22,1 Liga,14,1,952
379714,roberto-corral,20/21,2ª B - Fase intermedia,3,0,122
379714,roberto-corral,20/21,2ª B - Grupo I,11,0,737
379714,roberto-corral,20/21,Puchar Króla,1,1,12
379714,roberto-corral,19/20,Ascenso LaLiga2,1,0,62
379714,roberto-corral,19/20,2ª B - Grupo II,16,0,1324
379714,roberto-corral,19/20,Puchar Króla,2,0,210
379714,roberto-corral,18/19,2ª B - Grupo I,35,1,3097
379714,roberto-corral,18/19,Puchar Króla,0,0,0
379714,roberto-corral,17/18,2ª B - Grupo I,26,0,1399
379714,roberto-corral,16/17,2ª B - Grupo I,23,1,1072
379714,roberto-corral,15/16,2ª B - Grupo I,1,0,63
