id,name,season,competition,gamesPlayed,goals
271281,ronaldo-deaconu,2022,Ekstraklasa,13,0
271281,ronaldo-deaconu,2022,Fortuna Puchar Polski,1,0
271281,ronaldo-deaconu,2021,SuperLiga,18,3
271281,ronaldo-deaconu,2021,League One,6,3
271281,ronaldo-deaconu,2021,Cupa României,2,0
271281,ronaldo-deaconu,2020,SuperLiga,28,7
271281,ronaldo-deaconu,2020,Liga 1 - Relegation group,9,2
271281,ronaldo-deaconu,2020,Cupa României,2,2
271281,ronaldo-deaconu,2019,SuperLiga,14,0
271281,ronaldo-deaconu,2019,Liga 1 - Relegation group,7,1
271281,ronaldo-deaconu,2019,Cupa României,4,0
271281,ronaldo-deaconu,2018,SuperLiga,16,0
271281,ronaldo-deaconu,2018,SuperSport HNL,5,0
271281,ronaldo-deaconu,2018,Cupa României,1,0
271281,ronaldo-deaconu,2017,SuperLiga,20,3
271281,ronaldo-deaconu,2017,Liga 1 - Relegation group,12,0
271281,ronaldo-deaconu,2017,Cupa României,1,0
271281,ronaldo-deaconu,2016,SuperLiga,9,0
271281,ronaldo-deaconu,2016,Liga 1 - Relegation group,7,0
271281,ronaldo-deaconu,2016,Cupa României,2,1
271281,ronaldo-deaconu,2016,Cupa Ligii,1,0
