id,name,season,competition,gamesPlayed,goals
64104,sasa-balic,2022,Ekstraklasa,11,0
64104,sasa-balic,2022,Fortuna Puchar Polski,2,0
64104,sasa-balic,2021,Ekstraklasa,20,0
64104,sasa-balic,2021,Fortuna Puchar Polski,1,0
64104,sasa-balic,2020,Ekstraklasa,25,2
64104,sasa-balic,2020,Fortuna Puchar Polski,2,0
64104,sasa-balic,2019,Ekstraklasa,31,2
64104,sasa-balic,2019,Fortuna Puchar Polski,2,0
64104,sasa-balic,2018,Ekstraklasa,29,1
64104,sasa-balic,2018,Fortuna Puchar Polski,1,0
64104,sasa-balic,2018,3 Liga - Grupa III,1,1
64104,sasa-balic,2017,Ekstraklasa,25,1
64104,sasa-balic,2017,Fortuna Puchar Polski,3,0
64104,sasa-balic,2017,3 Liga - Grupa III,1,0
64104,sasa-balic,2016,Premijer Liga,15,1
64104,sasa-balic,2016,Kup BIH,4,0
64104,sasa-balic,2015,SuperLiga,19,0
64104,sasa-balic,2015,Cupa României,3,1
64104,sasa-balic,2015,Kwalifikacje do Ligi Europy,2,0
64104,sasa-balic,2015,Supercupa României,-,0
64104,sasa-balic,2014,Premier Liha,20,0
64104,sasa-balic,2014,Puchar Ukrainy,2,0
64104,sasa-balic,2013,Premier Liha,13,0
64104,sasa-balic,2013,Puchar Ukrainy,1,0
64104,sasa-balic,2012,Premier Liha,9,0
64104,sasa-balic,2012,Puchar Ukrainy,-,0
64104,sasa-balic,2011,SuperSport HNL,14,0
64104,sasa-balic,2011,Premier Liha,5,0
64104,sasa-balic,2010,SuperSport HNL,22,2
64104,sasa-balic,2009,SuperSport HNL,11,1
