id,name,season,competition,gamesPlayed,goals
523184,zvonimir-petrovic,2022,Prva Liga,13,0
523184,zvonimir-petrovic,2021,Fortuna 1 Liga,18,0
523184,zvonimir-petrovic,2021,Fortuna Puchar Polski,3,0
523184,zvonimir-petrovic,2020,Fortuna 1 Liga,19,0
523184,zvonimir-petrovic,2020,3 Liga - Grupa IV,9,1
523184,zvonimir-petrovic,2020,Fortuna Puchar Polski,1,0
523184,zvonimir-petrovic,2019,3 Liga - Grupa IV,15,2
523184,zvonimir-petrovic,2018,Prva liga FBIH,14,3
523184,zvonimir-petrovic,2018,CLJ,11,4
523184,zvonimir-petrovic,2017,Premijer Liga BiH U19,13,6
523184,zvonimir-petrovic,2017,Premijer Liga,-,0
523184,zvonimir-petrovic,2016,Premijer Liga BiH U17,13,1
523184,zvonimir-petrovic,2016,Premijer Liga BiH U19,2,1
