id,name,season,competition,gamesPlayed,goals,minutes
555057,antoni-kozubal,22/23,eWinner 2 liga,14,0,960
555057,antoni-kozubal,22/23,Fortuna Puchar Polski,0,0,0
555057,antoni-kozubal,22/23,Liga Konferencji,0,0,0
555057,antoni-kozubal,22/23,UECL Kwalifikacje,2,0,10
555057,antoni-kozubal,22/23,Ekstraklasa,0,0,0
555057,antoni-kozubal,21/22,1 Liga,14,0,778
555057,antoni-kozubal,21/22,Fortuna Puchar Polski,3,1,78
555057,antoni-kozubal,21/22,Ekstraklasa,1,0,17
555057,antoni-kozubal,21/22,eWinner 2 liga,14,1,988
555057,antoni-kozubal,20/21,CLJ,21,4,1620
555057,antoni-kozubal,20/21,eWinner 2 liga,9,0,601
555057,antoni-kozubal,20/21,Ekstraklasa,1,0,6
555057,antoni-kozubal,20/21,Fortuna Puchar Polski,0,0,0
555057,antoni-kozubal,20/21,Fortuna Puchar Polski,1,0,90
