id,name,season,competition,gamesPlayed,goals,minutes
179896,antonio-milic,22/23,Ekstraklasa,14,0,1088
179896,antonio-milic,22/23,Liga Konferencji,6,0,540
179896,antonio-milic,22/23,Fortuna Puchar Polski,1,0,61
179896,antonio-milic,22/23,UECL Kwalifikacje,2,0,138
179896,antonio-milic,22/23,Kwalifikacje do Ligi Mistrzów,2,0,180
179896,antonio-milic,22/23,Superpuchar,1,0,90
179896,antonio-milic,21/22,Ekstraklasa,26,4,2230
179896,antonio-milic,21/22,Fortuna Puchar Polski,2,0,180
179896,antonio-milic,20/21,Ekstraklasa,9,0,764
179896,antonio-milic,20/21,Fortuna Puchar Polski,2,0,210
179896,antonio-milic,19/20,LaLiga SmartBank,18,0,1249
179896,antonio-milic,19/20,Puchar Króla,2,0,108
179896,antonio-milic,18/19,JPL Playoff I,2,0,180
179896,antonio-milic,18/19,Jupiler Pro League,19,0,1321
179896,antonio-milic,18/19,Liga Europy,4,0,341
179896,antonio-milic,18/19,Beker van Belgie,0,0,0
179896,antonio-milic,17/18,JPL Playoff II,9,0,810
179896,antonio-milic,17/18,Jupiler Pro League,26,1,2324
179896,antonio-milic,17/18,Beker van Belgie,3,0,270
179896,antonio-milic,17/18,Kwalifikacje do Ligi Europy,2,0,180
179896,antonio-milic,16/17,Entscheidungsspiele Jupiler Pro League,1,0,90
179896,antonio-milic,16/17,JPL Playoff I,5,1,450
179896,antonio-milic,16/17,Jupiler Pro League,23,4,1912
179896,antonio-milic,16/17,Beker van Belgie,4,0,278
179896,antonio-milic,15/16,JPL Playoff I,7,0,469
179896,antonio-milic,15/16,Jupiler Pro League,26,2,2275
179896,antonio-milic,15/16,Beker van Belgie,1,0,90
179896,antonio-milic,14/15,JPL Playoff II,5,1,404
179896,antonio-milic,14/15,Jupiler Pro League,3,0,127
179896,antonio-milic,14/15,SuperSport HNL,11,2,958
179896,antonio-milic,14/15,Hrvatski nogometni kup,1,0,90
179896,antonio-milic,14/15,Liga Europy,2,0,180
179896,antonio-milic,14/15,Kwalifikacje do Ligi Europy,3,0,246
179896,antonio-milic,13/14,SuperSport HNL,18,2,1182
179896,antonio-milic,13/14,Hrvatski nogometni kup,2,0,180
179896,antonio-milic,13/14,Kwalifikacje do Ligi Europy,2,0,180
179896,antonio-milic,12/13,SuperSport HNL,26,3,1795
179896,antonio-milic,12/13,Kwalifikacje do Ligi Europy,2,0,126
179896,antonio-milic,11/12,SuperSport HNL,2,0,24
179896,antonio-milic,10/11,SuperSport HNL,0,0,0
