id,firstName,lastName,season,competition,gamesPlayed,goals,minutes
91854,barry,douglas,22/23,Liga Konferencji,2,0,76
91854,barry,douglas,22/23,Ekstraklasa,10,0,747
91854,barry,douglas,22/23,UECL Kwalifikacje,5,0,289
91854,barry,douglas,22/23,Kwalifikacje do Ligi Mistrzów,1,0,5
91854,barry,douglas,22/23,Superpuchar,1,0,90
91854,barry,douglas,21/22,Ekstraklasa,15,1,1194
91854,barry,douglas,21/22,Fortuna Puchar Polski,4,3,273
91854,barry,douglas,20/21,Championship,30,0,2435
91854,barry,douglas,20/21,FA Cup,1,0,44
91854,barry,douglas,20/21,EFL Cup,1,0,90
91854,barry,douglas,19/20,Championship,15,0,640
91854,barry,douglas,19/20,FA Cup,1,0,90
91854,barry,douglas,19/20,EFL Cup,1,0,90
91854,barry,douglas,18/19,Championship,26,0,1940
91854,barry,douglas,18/19,EFL Cup,0,0,0
91854,barry,douglas,17/18,Championship,39,5,3391
91854,barry,douglas,17/18,FA Cup,2,0,135
91854,barry,douglas,17/18,EFL Cup,1,0,60
91854,barry,douglas,16/17,Süper Lig,22,0,1759
91854,barry,douglas,16/17,Türkiye Kupasi,5,0,390
91854,barry,douglas,16/17,Liga Europy,4,0,360
91854,barry,douglas,15/16,Süper Lig,12,0,1006
91854,barry,douglas,15/16,Türkiye Kupasi,2,0,150
91854,barry,douglas,15/16,Ekstraklasa,13,0,1125
91854,barry,douglas,15/16,Liga Europy,1,0,90
91854,barry,douglas,15/16,Fortuna Puchar Polski,2,0,180
91854,barry,douglas,15/16,Kwalifikacje do Ligi Europy,2,0,180
91854,barry,douglas,15/16,Kwalifikacje do Ligi Mistrzów,4,1,360
91854,barry,douglas,15/16,Superpuchar,1,0,90
91854,barry,douglas,14/15,Ekstraklasa,27,3,2001
91854,barry,douglas,14/15,Fortuna Puchar Polski,5,1,445
91854,barry,douglas,14/15,Kwalifikacje do Ligi Europy,1,0,3
91854,barry,douglas,13/14,Ekstraklasa,18,0,1526
91854,barry,douglas,13/14,Fortuna Puchar Polski,1,0,90
91854,barry,douglas,12/13,Premiership,28,1,2437
91854,barry,douglas,12/13,SFA Cup,4,0,390
91854,barry,douglas,12/13,Kwalifikacje do Ligi Europy,2,0,180
91854,barry,douglas,11/12,Premiership,10,1,436
91854,barry,douglas,11/12,SFA Cup,1,0,17
91854,barry,douglas,11/12,League Cup,2,0,210
91854,barry,douglas,11/12,Kwalifikacje do Ligi Europy,1,0,90
91854,barry,douglas,10/11,Premiership,23,2,1778
91854,barry,douglas,10/11,SFA Cup,4,0,326
91854,barry,douglas,10/11,League Cup,1,0,44
91854,barry,douglas,10/11,Kwalifikacje do Ligi Europy,0,0,0
91854,barry,douglas,09/10,Scottish League One Play-offs,2,0,180
91854,barry,douglas,09/10,League Cup,1,1,90
91854,barry,douglas,08/09,SFA Cup,3,0,270
91854,barry,douglas,08/09,League Cup,1,0,90
91854,barry,douglas,08/09,ALBA Chal. Cup,1,0,90
