id,name,season,competition,gamesPlayed,goals
246309,dani-ramirez,2022,Jupiler Pro League,13,0
246309,dani-ramirez,2022,Beker van Belgie,3,0
246309,dani-ramirez,2022,Superpuchar,1,0
246309,dani-ramirez,2022,Kwalifikacje do Ligi Mistrzów,-,0
246309,dani-ramirez,2022,UECL Kwalifikacje,-,0
246309,dani-ramirez,2022,Ekstraklasa,-,0
246309,dani-ramirez,2021,Ekstraklasa,26,1
246309,dani-ramirez,2021,Fortuna Puchar Polski,5,1
246309,dani-ramirez,2020,Ekstraklasa,30,6
246309,dani-ramirez,2020,Liga Europy,6,0
246309,dani-ramirez,2020,Kwalifikacje do Ligi Europy,4,1
246309,dani-ramirez,2020,Fortuna Puchar Polski,4,2
246309,dani-ramirez,2019,Ekstraklasa,36,10
246309,dani-ramirez,2019,Fortuna Puchar Polski,3,2
246309,dani-ramirez,2018,Fortuna 1 Liga,31,9
246309,dani-ramirez,2017,Fortuna 1 Liga,24,1
