id,name,season,competition,gamesPlayed,goals,minutes
554972,filip-szymczak,22/23,Ekstraklasa,18,2,971
554972,filip-szymczak,22/23,Liga Konferencji,5,1,236
554972,filip-szymczak,22/23,UECL Kwalifikacje,6,0,183
554972,filip-szymczak,22/23,eWinner 2 liga,1,0,90
554972,filip-szymczak,22/23,Kwalifikacje do Ligi Mistrzów,2,0,46
554972,filip-szymczak,22/23,Superpuchar,1,0,90
554972,filip-szymczak,21/22,1 Liga,32,11,2112
554972,filip-szymczak,21/22,Fortuna Puchar Polski,0,0,0
554972,filip-szymczak,20/21,Ekstraklasa,11,0,303
554972,filip-szymczak,20/21,eWinner 2 liga,7,4,497
554972,filip-szymczak,20/21,Fortuna Puchar Polski,2,1,90
554972,filip-szymczak,20/21,Liga Europy,0,0,0
554972,filip-szymczak,20/21,Kwalifikacje do Ligi Europy,1,1,6
554972,filip-szymczak,19/20,Ekstraklasa,4,0,33
554972,filip-szymczak,19/20,eWinner 2 liga,25,12,1839
554972,filip-szymczak,19/20,Fortuna Puchar Polski,1,0,4
554972,filip-szymczak,19/20,CLJ,1,0,75
554972,filip-szymczak,18/19,3 Liga - Grupa II,6,1,297
554972,filip-szymczak,18/19,CLJ,16,7,1234
554972,filip-szymczak,18/19,Liga Młodzieżowa UEFA,1,0,11
554972,filip-szymczak,17/18,CLJ - Runda Finałowa,2,0,16
554972,filip-szymczak,17/18,CLJ - Grupa Zachodnia,2,1,151
