id,name,dates,marketValue
419067,georgiy-tsitaishvili,2019-03-22,800000
419067,georgiy-tsitaishvili,2019-06-19,1000000
419067,georgiy-tsitaishvili,2020-01-07,1000000
419067,georgiy-tsitaishvili,2020-04-07,900000
419067,georgiy-tsitaishvili,2020-09-03,1500000
419067,georgiy-tsitaishvili,2021-01-13,1500000
419067,georgiy-tsitaishvili,2021-06-06,1200000
419067,georgiy-tsitaishvili,2021-12-19,1000000
419067,georgiy-tsitaishvili,2022-06-13,1000000
419067,georgiy-tsitaishvili,2022-09-28,800000
419067,georgiy-tsitaishvili,2022-11-15,800000
