id,name,season,competition,gamesPlayed,goals
631442,jakub-antczak,2022,eWinner 2 liga,16,1
631442,jakub-antczak,2022,CLJ,1,0
631442,jakub-antczak,2022,UECL Kwalifikacje,-,0
631442,jakub-antczak,2021,eWinner 2 liga,22,3
631442,jakub-antczak,2021,CLJ,7,2
631442,jakub-antczak,2021,Ekstraklasa,1,0
631442,jakub-antczak,2021,Fortuna Puchar Polski,1,0
631442,jakub-antczak,2020,CLJ,17,4
631442,jakub-antczak,2019,5,17.09.2019,D
631442,jakub-antczak,2019,2,19.09.2019,D
631442,jakub-antczak,2019,3,14.10.2019,W
631442,jakub-antczak,2019,4,16.10.2019,W
631442,jakub-antczak,2019,4,29.01.2020,D
631442,jakub-antczak,2019,2,31.01.2020,W
631442,jakub-antczak,2019,4,02.02.2020,W
631442,jakub-antczak,2018,1,20.11.2018,D
631442,jakub-antczak,2018,2,22.11.2018,D
631442,jakub-antczak,2018,1,26.03.2019,W
631442,jakub-antczak,2018,2,28.03.2019,W
631442,jakub-antczak,2018,3,28.05.2019,W
631442,jakub-antczak,2018,4,29.05.2019,W
631442,jakub-antczak,2018,5,31.05.2019,D
