id,firstName,lastName,season,date,sourceTeam,destTeam,marketValue,price
187490,jan,sykora,22/23,2022-07-06,Lech Poznan,Viktoria Plzen,1000000,0
187490,jan,sykora,21/22,2022-06-30,Viktoria Plzen,Lech Poznan,1000000,End of loan
187490,jan,sykora,21/22,2021-08-27,Lech Poznan,Viktoria Plzen,600000,loan transfer
187490,jan,sykora,20/21,2020-08-24,Slavia Prague,Lech Poznan,1000000,700000
187490,jan,sykora,19/20,2020-07-31,Jablonec,Slavia Prague,1000000,End of loan
187490,jan,sykora,19/20,2019-07-01,Slavia Prague,Jablonec,900000,loan transfer
187490,jan,sykora,18/19,2019-06-30,Slovan Liberec,Slavia Prague,900000,End of loan
187490,jan,sykora,18/19,2019-02-22,Slavia Prague,Slovan Liberec,1250000,loan transfer
187490,jan,sykora,16/17,2017-01-09,Slovan Liberec,Slavia Prague,1000000,1000000
187490,jan,sykora,15/16,2015-07-02,Sparta Prague,Slovan Liberec,100000,0
187490,jan,sykora,14/15,2015-06-30,Zbrojovka Brno,Sparta Prague,100000,End of loan
187490,jan,sykora,14/15,2014-07-01,Sparta Prague,Zbrojovka Brno,100000,loan transfer
187490,jan,sykora,13/14,2013-07-01,Sparta Prague B,Sparta Prague,100000,0
187490,jan,sykora,11/12,2011-07-01,Vikt. Plzen U19,Sparta Prague B,0,0
