id,name,season,competition,gamesPlayed,goals,minutes
187490,jan-sykora,22/23,Fortuna Liga,8,1,469
187490,jan-sykora,22/23,Liga Mistrzów,2,1,150
187490,jan-sykora,22/23,Kwalifikacje do Ligi Mistrzów,6,2,471
187490,jan-sykora,21/22,Fortuna Liga Meisterrunde,5,1,316
187490,jan-sykora,21/22,Fortuna Liga,24,3,1921
187490,jan-sykora,21/22,MOL Cup,1,0,90
187490,jan-sykora,21/22,Ekstraklasa,4,0,50
187490,jan-sykora,21/22,eWinner 2 liga,2,0,161
187490,jan-sykora,20/21,Ekstraklasa,22,0,1185
187490,jan-sykora,20/21,Fortuna Puchar Polski,3,0,246
187490,jan-sykora,20/21,Liga Europy,5,0,222
187490,jan-sykora,20/21,Kwalifikacje do Ligi Europy,2,1,163
187490,jan-sykora,20/21,eWinner 2 liga,1,2,83
187490,jan-sykora,19/20,Fortuna Liga Meisterrunde,3,0,270
187490,jan-sykora,19/20,Fortuna Liga,26,9,2334
187490,jan-sykora,19/20,MOL Cup,3,0,285
187490,jan-sykora,19/20,Kwalifikacje do Ligi Europy,2,0,180
187490,jan-sykora,18/19,Fortuna Liga Meisterrunde,4,0,340
187490,jan-sykora,18/19,Fortuna Liga,4,1,253
187490,jan-sykora,18/19,MOL Cup,1,1,77
187490,jan-sykora,18/19,Fortuna Liga,12,1,739
187490,jan-sykora,18/19,Liga Europy,2,0,123
187490,jan-sykora,18/19,MOL Cup,1,1,89
187490,jan-sykora,18/19,Kwalifikacje do Ligi Mistrzów,2,0,176
187490,jan-sykora,17/18,HET Liga,17,2,926
187490,jan-sykora,17/18,MOL Cup,3,1,255
187490,jan-sykora,17/18,Liga Europy,5,0,329
187490,jan-sykora,17/18,Kwalifikacje do Ligi Mistrzów,2,0,30
187490,jan-sykora,16/17,ePojisteni.cz Li,11,2,797
187490,jan-sykora,16/17,MOL Cup,1,0,30
187490,jan-sykora,16/17,Liga Europy,5,1,348
187490,jan-sykora,16/17,ePojisteni.cz Li,13,0,939
187490,jan-sykora,16/17,Kwalifikacje do Ligi Europy,4,3,360
187490,jan-sykora,15/16,Synot Liga,21,1,1491
187490,jan-sykora,15/16,MOL Cup,4,0,304
187490,jan-sykora,15/16,Liga Europy,4,0,214
187490,jan-sykora,15/16,Juniorska liga,3,0,223
187490,jan-sykora,15/16,Kwalifikacje do Ligi Europy,0,0,0
187490,jan-sykora,14/15,Synot Liga,26,4,2111
187490,jan-sykora,13/14,MOL Cup,0,0,0
187490,jan-sykora,11/12,FNL,23,3,1616
