id,firstName,lastName,dates,marketValue
499859,kristoffer,velde,2017-12-22,100000
499859,kristoffer,velde,2018-12-29,100000
499859,kristoffer,velde,2019-09-14,400000
499859,kristoffer,velde,2019-12-28,400000
499859,kristoffer,velde,2020-04-07,350000
499859,kristoffer,velde,2020-07-24,400000
499859,kristoffer,velde,2020-12-30,700000
499859,kristoffer,velde,2022-01-02,900000
499859,kristoffer,velde,2022-06-13,900000
499859,kristoffer,velde,2022-09-28,1200000
499859,kristoffer,velde,2022-11-15,1500000
