id,name,dates,marketValue
153637,mikael-ishak,2010-07-31,40000
153637,mikael-ishak,2012-01-22,300000
153637,mikael-ishak,2012-03-04,500000
153637,mikael-ishak,2012-06-28,800000
153637,mikael-ishak,2013-01-03,600000
153637,mikael-ishak,2013-06-16,600000
153637,mikael-ishak,2014-01-28,600000
153637,mikael-ishak,2014-07-14,700000
153637,mikael-ishak,2014-08-30,600000
153637,mikael-ishak,2015-02-05,600000
153637,mikael-ishak,2015-09-01,700000
153637,mikael-ishak,2016-01-20,700000
153637,mikael-ishak,2016-08-11,800000
153637,mikael-ishak,2016-12-11,800000
153637,mikael-ishak,2017-06-26,650000
153637,mikael-ishak,2017-10-16,800000
153637,mikael-ishak,2018-01-21,1750000
153637,mikael-ishak,2018-06-18,2250000
153637,mikael-ishak,2018-10-21,4000000
153637,mikael-ishak,2018-12-17,4000000
153637,mikael-ishak,2019-06-04,4000000
153637,mikael-ishak,2019-09-24,2500000
153637,mikael-ishak,2019-12-12,2000000
153637,mikael-ishak,2020-04-01,1500000
153637,mikael-ishak,2020-04-07,1200000
153637,mikael-ishak,2021-01-14,2000000
153637,mikael-ishak,2021-05-20,2500000
153637,mikael-ishak,2021-12-30,2500000
153637,mikael-ishak,2022-04-06,3000000
153637,mikael-ishak,2022-06-13,3000000
153637,mikael-ishak,2022-11-15,3000000
