id,name,season,competition,gamesPlayed,goals
150850,nika-kvekveskiri,2022,Ekstraklasa,15,1
150850,nika-kvekveskiri,2022,Liga Konferencji,6,0
150850,nika-kvekveskiri,2022,UECL Kwalifikacje,6,0
150850,nika-kvekveskiri,2022,Kwalifikacje do Ligi Mistrzów,2,0
150850,nika-kvekveskiri,2022,Superpuchar,1,0
150850,nika-kvekveskiri,2022,Fortuna Puchar Polski,1,0
150850,nika-kvekveskiri,2021,Ekstraklasa,29,2
150850,nika-kvekveskiri,2021,Fortuna Puchar Polski,6,0
150850,nika-kvekveskiri,2020,Ekstraklasa,12,0
150850,nika-kvekveskiri,2020,Fortuna Puchar Polski,1,0
150850,nika-kvekveskiri,2019,Premier Liga,16,0
150850,nika-kvekveskiri,2019,Kwalifikacje do Ligi Europy,2,0
150850,nika-kvekveskiri,2018,Premier Liga,22,2
150850,nika-kvekveskiri,2018,Kwalifikacje do Ligi Europy,4,0
150850,nika-kvekveskiri,2018,Kubok Kazakhstana,2,0
150850,nika-kvekveskiri,2017,Premier Liga,23,2
150850,nika-kvekveskiri,2016,Premier Liga,14,1
150850,nika-kvekveskiri,2016,Premyer Liqa,14,0
150850,nika-kvekveskiri,2016,Kwalifikacje do Ligi Europy,8,1
150850,nika-kvekveskiri,2016,Liga Europy,3,0
150850,nika-kvekveskiri,2015,Premyer Liqa,29,4
150850,nika-kvekveskiri,2015,Kwalifikacje do Ligi Europy,6,2
150850,nika-kvekveskiri,2014,Erovnuli Liga (bis 2016/17),25,7
150850,nika-kvekveskiri,2014,David Kipiani Cup,2,0
150850,nika-kvekveskiri,2013,Erovnuli Liga (bis 2016/17),7,1
150850,nika-kvekveskiri,2013,David Kipiani Cup,1,0
150850,nika-kvekveskiri,2012,Erovnuli Liga (bis 2016/17),8,0
150850,nika-kvekveskiri,2012,David Kipiani Cup,1,0
150850,nika-kvekveskiri,2011,Erovnuli Liga (bis 2016/17),20,1
150850,nika-kvekveskiri,2011,Umaglesi Liga Meisterschaftsrunde,14,1
150850,nika-kvekveskiri,2011,Kwalifikacje do Ligi Europy,5,1
150850,nika-kvekveskiri,2011,Liga Europy,2,0
150850,nika-kvekveskiri,2011,David Kipiani Cup,2,0
150850,nika-kvekveskiri,2010,Erovnuli Liga (bis 2016/17),31,1
150850,nika-kvekveskiri,2009,Erovnuli Liga (bis 2016/17),11,0
150850,nika-kvekveskiri,2009,David Kipiani Cup,4,3
