id,name,dates,marketValue
220969,radoslaw-murawski,2012-09-18,100000
220969,radoslaw-murawski,2013-02-06,100000
220969,radoslaw-murawski,2013-07-21,200000
220969,radoslaw-murawski,2014-02-13,250000
220969,radoslaw-murawski,2014-07-20,250000
220969,radoslaw-murawski,2015-03-04,250000
220969,radoslaw-murawski,2015-06-29,300000
220969,radoslaw-murawski,2016-01-09,550000
220969,radoslaw-murawski,2016-03-27,550000
220969,radoslaw-murawski,2016-07-23,600000
220969,radoslaw-murawski,2017-01-20,600000
220969,radoslaw-murawski,2017-07-04,650000
220969,radoslaw-murawski,2017-12-20,900000
220969,radoslaw-murawski,2018-06-17,1000000
220969,radoslaw-murawski,2019-01-16,1000000
220969,radoslaw-murawski,2019-06-04,1000000
220969,radoslaw-murawski,2020-01-02,1700000
220969,radoslaw-murawski,2020-04-07,1400000
220969,radoslaw-murawski,2020-08-03,1200000
220969,radoslaw-murawski,2020-12-22,1000000
220969,radoslaw-murawski,2021-03-15,1000000
220969,radoslaw-murawski,2021-05-20,850000
220969,radoslaw-murawski,2021-12-30,850000
220969,radoslaw-murawski,2022-06-13,850000
220969,radoslaw-murawski,2022-11-15,1000000
