id,name,season,competition,gamesPlayed,goals
220969,radoslaw-murawski,2022,Ekstraklasa,18,0
220969,radoslaw-murawski,2022,Liga Konferencji,6,0
220969,radoslaw-murawski,2022,UECL Kwalifikacje,4,0
220969,radoslaw-murawski,2022,Kwalifikacje do Ligi Mistrzów,2,0
220969,radoslaw-murawski,2022,Superpuchar,1,0
220969,radoslaw-murawski,2022,Fortuna Puchar Polski,-,0
220969,radoslaw-murawski,2021,Ekstraklasa,21,1
220969,radoslaw-murawski,2021,Fortuna Puchar Polski,5,1
220969,radoslaw-murawski,2021,eWinner 2 liga,1,0
220969,radoslaw-murawski,2020,Süper Lig,32,1
220969,radoslaw-murawski,2020,Türkiye Kupasi,1,0
220969,radoslaw-murawski,2019,Süper Lig,32,4
220969,radoslaw-murawski,2019,Türkiye Kupasi,3,1
220969,radoslaw-murawski,2018,Serie B,32,1
220969,radoslaw-murawski,2018,Puchar Włoch,2,0
220969,radoslaw-murawski,2017,Serie B,35,1
220969,radoslaw-murawski,2017,Serie B Play-off,4,0
220969,radoslaw-murawski,2017,Puchar Włoch,2,1
220969,radoslaw-murawski,2017,Ekstraklasa,1,0
220969,radoslaw-murawski,2016,Ekstraklasa,33,2
220969,radoslaw-murawski,2016,Kwalifikacje do Ligi Europy,2,0
220969,radoslaw-murawski,2016,Fortuna Puchar Polski,1,0
220969,radoslaw-murawski,2015,Ekstraklasa,35,1
220969,radoslaw-murawski,2014,Ekstraklasa,29,0
220969,radoslaw-murawski,2014,Fortuna Puchar Polski,2,0
220969,radoslaw-murawski,2013,Ekstraklasa,18,0
220969,radoslaw-murawski,2013,Kwalifikacje do Ligi Europy,1,0
220969,radoslaw-murawski,2012,Ekstraklasa,9,1
220969,radoslaw-murawski,2012,Fortuna Puchar Polski,-,0
220969,radoslaw-murawski,2011,Fortuna 1 Liga,2,0
