id,name,dates,marketValue
181715,david-stec,2014-07-28,125000
181715,david-stec,2014-11-21,175000
181715,david-stec,2015-06-18,200000
181715,david-stec,2015-11-30,200000
181715,david-stec,2016-05-29,350000
181715,david-stec,2016-12-21,400000
181715,david-stec,2017-06-01,450000
181715,david-stec,2018-01-01,450000
181715,david-stec,2018-06-13,400000
181715,david-stec,2019-01-24,300000
181715,david-stec,2019-06-28,400000
181715,david-stec,2020-01-14,350000
181715,david-stec,2020-04-07,300000
181715,david-stec,2020-08-17,450000
181715,david-stec,2021-01-18,450000
181715,david-stec,2021-05-20,350000
181715,david-stec,2021-12-15,350000
181715,david-stec,2022-06-13,350000
181715,david-stec,2022-11-15,400000
