id,name,season,competition,gamesPlayed,goals,minutes
130444,jakub-bartkowski,22/23,Ekstraklasa,3,0,270
130444,jakub-bartkowski,22/23,Fortuna Puchar Polski,1,0,36
130444,jakub-bartkowski,22/23,Ekstraklasa,14,1,1152
130444,jakub-bartkowski,22/23,UECL Kwalifikacje,4,1,356
130444,jakub-bartkowski,21/22,Ekstraklasa,27,1,2368
130444,jakub-bartkowski,21/22,Fortuna Puchar Polski,1,1,68
130444,jakub-bartkowski,21/22,UECL Kwalifikacje,2,0,180
130444,jakub-bartkowski,20/21,Ekstraklasa,21,1,1641
130444,jakub-bartkowski,20/21,Fortuna Puchar Polski,1,0,90
130444,jakub-bartkowski,20/21,3 Liga - Grupa II,1,0,90
130444,jakub-bartkowski,19/20,Ekstraklasa,25,0,2046
130444,jakub-bartkowski,19/20,3 Liga - Grupa II,1,0,90
130444,jakub-bartkowski,19/20,Fortuna Puchar Polski,2,0,180
130444,jakub-bartkowski,18/19,Ekstraklasa,13,0,998
130444,jakub-bartkowski,18/19,Ekstraklasa,18,1,1552
130444,jakub-bartkowski,18/19,Fortuna Puchar Polski,1,0,120
130444,jakub-bartkowski,17/18,Ekstraklasa,17,2,1484
130444,jakub-bartkowski,17/18,Fortuna Puchar Polski,0,0,0
130444,jakub-bartkowski,16/17,Ekstraklasa,2,0,127
130444,jakub-bartkowski,16/17,Fortuna Puchar Polski,4,0,360
130444,jakub-bartkowski,16/17,Nice 1 Liga,17,2,1530
130444,jakub-bartkowski,15/16,1 Liga,31,1,2724
130444,jakub-bartkowski,15/16,Fortuna Puchar Polski,2,0,180
130444,jakub-bartkowski,14/15,1 Liga,31,0,2790
130444,jakub-bartkowski,14/15,Fortuna Puchar Polski,3,0,270
130444,jakub-bartkowski,13/14,2 Liga - Grupa wschodnia,12,0,1002
130444,jakub-bartkowski,13/14,Ekstraklasa,13,0,1096
130444,jakub-bartkowski,13/14,Fortuna Puchar Polski,2,0,210
130444,jakub-bartkowski,12/13,Ekstraklasa,19,0,1677
130444,jakub-bartkowski,12/13,Fortuna Puchar Polski,1,0,90
130444,jakub-bartkowski,11/12,Ekstraklasa,22,0,1146
130444,jakub-bartkowski,11/12,Fortuna Puchar Polski,2,0,180
