id,name,season,competition,gamesPlayed,goals
57303,joeri-de-kamps,2022,Ekstraklasa,5,0
57303,joeri-de-kamps,2022,Fortuna Puchar Polski,1,0
57303,joeri-de-kamps,2021,Eredivisie,14,1
57303,joeri-de-kamps,2021,Fortuna Liga,6,0
57303,joeri-de-kamps,2021,Kwalifikacje do Ligi Europy,4,0
57303,joeri-de-kamps,2021,Kwalifikacje do Ligi Mistrzów,4,0
57303,joeri-de-kamps,2021,Slovnaft Cup,3,0
57303,joeri-de-kamps,2021,Liga Konferencji,1,0
57303,joeri-de-kamps,2020,Fortuna Liga,19,0
57303,joeri-de-kamps,2020,Fort. Liga - Champ. G.,9,0
57303,joeri-de-kamps,2020,Slovnaft Cup,6,0
57303,joeri-de-kamps,2020,Kwalifikacje do Ligi Europy,1,0
57303,joeri-de-kamps,2020,II. Liga,1,0
57303,joeri-de-kamps,2019,Fortuna Liga,17,0
57303,joeri-de-kamps,2019,Kwalifikacje do Ligi Europy,6,0
57303,joeri-de-kamps,2019,Slovnaft Cup,6,0
57303,joeri-de-kamps,2019,Liga Europy,5,0
57303,joeri-de-kamps,2019,Kwalifikacje do Ligi Mistrzów,2,0
57303,joeri-de-kamps,2019,Fort. Liga - Champ. G.,2,0
57303,joeri-de-kamps,2019,II. Liga,1,0
57303,joeri-de-kamps,2018,Fortuna Liga,19,0
57303,joeri-de-kamps,2018,Fort. Liga - Champ. G.,4,0
57303,joeri-de-kamps,2018,Kwalifikacje do Ligi Europy,2,0
57303,joeri-de-kamps,2018,Slovnaft Cup,1,0
57303,joeri-de-kamps,2017,Fortuna Liga,11,0
57303,joeri-de-kamps,2017,Fort. Liga - Champ. G.,8,0
57303,joeri-de-kamps,2017,Kwalifikacje do Ligi Europy,4,1
57303,joeri-de-kamps,2017,Slovnaft Cup,4,0
57303,joeri-de-kamps,2017,Cesko-slovensky Superpohar,1,0
57303,joeri-de-kamps,2016,Fortuna Liga,22,4
57303,joeri-de-kamps,2016,Slovnaft Cup,4,0
57303,joeri-de-kamps,2016,Kwalifikacje do Ligi Europy,3,0
57303,joeri-de-kamps,2015,Fortuna Liga,13,0
57303,joeri-de-kamps,2015,Keuken Kampioen Divisie,6,0
57303,joeri-de-kamps,2015,Slovnaft Cup,4,0
57303,joeri-de-kamps,2015,KNVB beker,1,0
57303,joeri-de-kamps,2014,Eredivisie,29,0
57303,joeri-de-kamps,2014,KNVB beker,3,1
57303,joeri-de-kamps,2014,Play-Offs Promotie/Deg.,2,0
57303,joeri-de-kamps,2013,Eredivisie,12,0
57303,joeri-de-kamps,2013,Beloften Eredivisie,10,0
57303,joeri-de-kamps,2013,Keuken Kampioen Divisie,5,0
57303,joeri-de-kamps,2013,KNVB beker,1,0
57303,joeri-de-kamps,2013,Play-Offs Conference League,-,0
57303,joeri-de-kamps,2012,Beloften nacompetitie,7,0
57303,joeri-de-kamps,2011,Beloften Eredivisie,15,0
57303,joeri-de-kamps,2011,Eredivisie,-,0
57303,joeri-de-kamps,2010,U19 Eredivisie,20,0
57303,joeri-de-kamps,2009,U19 Eredivisie,2,0
