id,name,season,competition,gamesPlayed,goals,minutes
364278,joseph-ceesay,22/23,Liga Europy,4,1,278
364278,joseph-ceesay,22/23,Kwalifikacje do Ligi Europy,4,0,262
364278,joseph-ceesay,2022,Allsvenskan,10,0,608
364278,joseph-ceesay,21/22,Ekstraklasa,22,0,1566
364278,joseph-ceesay,20/21,Ekstraklasa,11,1,533
364278,joseph-ceesay,20/21,Fortuna Puchar Polski,1,1,63
364278,joseph-ceesay,2020,Allsvenskan,19,0,1542
364278,joseph-ceesay,19/20,Svenska Cupen,1,0,23
364278,joseph-ceesay,2019,Superettan,26,6,2124
364278,joseph-ceesay,18/19,Kwalifikacje do Ligi Europy,0,0,0
364278,joseph-ceesay,2018,Superettan,10,2,593
364278,joseph-ceesay,2018,Allsvenskan,0,0,0
364278,joseph-ceesay,2018,Superettan,9,0,263
364278,joseph-ceesay,17/18,Svenska Cupen,3,0,262
364278,joseph-ceesay,2017,Relegation Superettan,1,0,20
364278,joseph-ceesay,2017,Superettan,11,1,662
364278,joseph-ceesay,2017,U21 Allsvenskan Slutspelet,1,0,70
364278,joseph-ceesay,2017,Ettan Norra,3,1,264
364278,joseph-ceesay,2017,U21 Allsvenskan Norra,8,2,707
364278,joseph-ceesay,2017,Allsvenskan,0,0,0
364278,joseph-ceesay,16/17,Svenska Cupen,0,0,0
364278,joseph-ceesay,2016,U21 Allsvenskan Slutspelet,1,0,72
364278,joseph-ceesay,2016,U19 Allsvenskan Norra,10,5,900
364278,joseph-ceesay,2016,U21 Allsvenskan Norra,8,2,480
364278,joseph-ceesay,2016,Allsvenskan,0,0,0
364278,joseph-ceesay,2015,U21 Allsvenskan Slutspelet,2,0,37
364278,joseph-ceesay,2015,U19 Allsvenskan Slutspelet,1,0,34
364278,joseph-ceesay,2015,U19 Allsvenskan Norra,15,8,1350
364278,joseph-ceesay,2015,U21 Allsvenskan Norra,3,0,127
