id,firstName,lastName,season,competition,gamesPlayed,goals,minutes
448883,kristers,tobers,22/23,Ekstraklasa,16,0,1040
448883,kristers,tobers,22/23,Fortuna Puchar Polski,1,0,79
448883,kristers,tobers,22/23,UECL Kwalifikacje,2,0,162
448883,kristers,tobers,21/22,Ekstraklasa,11,0,397
448883,kristers,tobers,20/21,Ekstraklasa,17,0,1316
448883,kristers,tobers,20/21,Fortuna Puchar Polski,1,0,90
448883,kristers,tobers,19/20,Fortuna Puchar Polski,1,0,90
448883,kristers,tobers,19/20,Ekstraklasa,10,0,855
448883,kristers,tobers,19/20,Kwalifikacje do Ligi Europy,4,0,360
448883,kristers,tobers,2019,Virsliga,24,3,1898
448883,kristers,tobers,18/19,Puchar Lotwy,2,0,180
448883,kristers,tobers,18/19,Kwalifikacje do Ligi Europy,2,0,169
448883,kristers,tobers,2018,Virsliga,23,2,1774
448883,kristers,tobers,17/18,Puchar Lotwy,2,0,123
448883,kristers,tobers,17/18,Liga Młodzieżowa UEFA,2,0,180
448883,kristers,tobers,16/17,Puchar Lotwy,2,0,123
