id,firstName,lastName,season,competition,gamesPlayed,goals,minutes
393922,louis,poznanski,22/23,Super League 1,3,0,261
393922,louis,poznanski,21/22,SL1 Play-off,3,0,241
393922,louis,poznanski,21/22,Super League 1,3,0,166
393922,louis,poznanski,21/22,Regionalliga Nord,3,0,107
393922,louis,poznanski,20/21,Regionalliga Nord,1,0,90
393922,louis,poznanski,19/20,Regionalliga Nord,9,0,590
393922,louis,poznanski,19/20,U19-BL S/SW,1,0,44
393922,louis,poznanski,18/19,U19-BL S/SW,8,1,118
393922,louis,poznanski,18/19,Regionalliga Bayern,0,0,0
393922,louis,poznanski,17/18,U17-Bundesliga Endrunde,3,0,6
393922,louis,poznanski,17/18,U17-BL S/SW,9,0,710
393922,louis,poznanski,17/18,U19-BL S/SW,1,0,27
393922,louis,poznanski,17/18,U19-BL N/NO,4,0,137
393922,louis,poznanski,17/18,U17-BL N/NO,10,1,813
393922,louis,poznanski,16/17,U17-Bundesliga Endrunde,3,0,165
393922,louis,poznanski,16/17,U17-BL N/NO,21,3,1291
