id,name,season,competition,gamesPlayed,goals
220740,lukasz-zwolinski,2022,Ekstraklasa,14,6
220740,lukasz-zwolinski,2022,UECL Kwalifikacje,4,2
220740,lukasz-zwolinski,2022,Fortuna Puchar Polski,2,2
220740,lukasz-zwolinski,2021,Ekstraklasa,32,14
220740,lukasz-zwolinski,2021,Fortuna Puchar Polski,2,2
220740,lukasz-zwolinski,2020,Ekstraklasa,22,6
220740,lukasz-zwolinski,2020,Fortuna Puchar Polski,2,2
220740,lukasz-zwolinski,2019,SuperSport HNL,17,4
220740,lukasz-zwolinski,2019,Ekstraklasa,13,7
220740,lukasz-zwolinski,2019,Hrvatski nogometni kup,4,5
220740,lukasz-zwolinski,2019,Fortuna Puchar Polski,3,0
220740,lukasz-zwolinski,2018,SuperSport HNL,33,14
220740,lukasz-zwolinski,2017,Ekstraklasa,27,1
220740,lukasz-zwolinski,2017,3 Liga - Grupa II,4,4
220740,lukasz-zwolinski,2017,Fortuna Puchar Polski,1,0
220740,lukasz-zwolinski,2016,Ekstraklasa,33,1
220740,lukasz-zwolinski,2016,3 Liga - Grupa II,5,5
220740,lukasz-zwolinski,2016,Fortuna Puchar Polski,4,2
220740,lukasz-zwolinski,2015,Ekstraklasa,30,8
220740,lukasz-zwolinski,2015,Fortuna Puchar Polski,-,0
220740,lukasz-zwolinski,2014,Ekstraklasa,33,12
220740,lukasz-zwolinski,2014,Fortuna Puchar Polski,1,1
220740,lukasz-zwolinski,2013,Fortuna 1 Liga,22,8
220740,lukasz-zwolinski,2012,Fortuna 1 Liga,11,0
220740,lukasz-zwolinski,2012,Ekstraklasa,1,0
220740,lukasz-zwolinski,2012,Fortuna Puchar Polski,1,0
220740,lukasz-zwolinski,2011,Fortuna 1 Liga,2,0
