id,firstName,lastName,season,competition,gamesPlayed,goals,minutes
67869,marco,terrazzino,22/23,Ekstraklasa,14,0,577
67869,marco,terrazzino,22/23,Fortuna Puchar Polski,0,0,0
67869,marco,terrazzino,22/23,UECL Kwalifikacje,3,0,212
67869,marco,terrazzino,21/22,Ekstraklasa,21,4,991
67869,marco,terrazzino,21/22,Fortuna Puchar Polski,1,0,77
67869,marco,terrazzino,20/21,2. Bundesliga,21,1,449
67869,marco,terrazzino,20/21,DFB-Pokal,1,0,51
67869,marco,terrazzino,19/20,2. Bundesliga,14,2,855
67869,marco,terrazzino,19/20,Regionalliga Südwest,2,0,170
67869,marco,terrazzino,18/19,Bundesliga,13,1,516
67869,marco,terrazzino,18/19,DFB-Pokal,1,0,54
67869,marco,terrazzino,17/18,Bundesliga,24,0,1502
67869,marco,terrazzino,17/18,DFB-Pokal,2,0,99
67869,marco,terrazzino,16/17,Bundesliga,9,1,363
67869,marco,terrazzino,16/17,Regionalliga Südwest,3,3,252
67869,marco,terrazzino,16/17,DFB-Pokal,1,0,25
67869,marco,terrazzino,15/16,2. Bundesliga,31,5,2238
67869,marco,terrazzino,15/16,DFB-Pokal,3,2,210
67869,marco,terrazzino,14/15,2. Bundesliga,29,5,1710
67869,marco,terrazzino,14/15,DFB-Pokal,2,0,73
67869,marco,terrazzino,13/14,Bundesliga,2,1,41
67869,marco,terrazzino,13/14,Regionalliga Südwest,3,0,215
67869,marco,terrazzino,12/13,Bundesliga,6,1,158
67869,marco,terrazzino,12/13,Regionalliga Südwest,10,4,900
67869,marco,terrazzino,12/13,DFB-Pokal,0,0,0
67869,marco,terrazzino,11/12,Relegation 2. Bundesliga,2,0,64
67869,marco,terrazzino,11/12,2. Bundesliga,25,2,1263
67869,marco,terrazzino,11/12,DFB-Pokal,2,0,180
67869,marco,terrazzino,10/11,2. Bundesliga,11,1,577
67869,marco,terrazzino,10/11,Regionalliga Süd,20,3,1120
67869,marco,terrazzino,09/10,DFB-Pokal der Junioren,4,4,330
67869,marco,terrazzino,09/10,U19-BL S/SW,8,3,664
67869,marco,terrazzino,09/10,Bundesliga,8,0,88
67869,marco,terrazzino,09/10,Oberliga Baden-Württemberg,9,4,508
67869,marco,terrazzino,09/10,DFB-Pokal,2,0,29
67869,marco,terrazzino,08/09,Bundesliga,11,0,192
67869,marco,terrazzino,08/09,U19-BL S/SW,7,4,525
67869,marco,terrazzino,07/08,U17-Bundesliga Endrunde,1,2,68
67869,marco,terrazzino,07/08,U17-BL S/SW,25,20,2066
