id,name,season,competition,gamesPlayed,goals,minutes
77002,michal-buchalik,22/23,Ekstraklasa,3,0,0
77002,michal-buchalik,22/23,Fortuna Puchar Polski,1,0,0
77002,michal-buchalik,22/23,UECL Kwalifikacje,0,0,0
77002,michal-buchalik,21/22,Ekstraklasa,1,0,0
77002,michal-buchalik,20/21,Ekstraklasa,3,0,1
77002,michal-buchalik,20/21,Fortuna Puchar Polski,1,0,0
77002,michal-buchalik,19/20,Ekstraklasa,31,0,9
77002,michal-buchalik,19/20,Fortuna Puchar Polski,0,0,0
77002,michal-buchalik,18/19,Ekstraklasa,4,0,3
77002,michal-buchalik,18/19,Fortuna Puchar Polski,1,0,0
77002,michal-buchalik,17/18,Ekstraklasa,18,0,7
77002,michal-buchalik,17/18,Fortuna Puchar Polski,2,0,0
77002,michal-buchalik,16/17,Ekstraklasa,0,0,0
77002,michal-buchalik,15/16,Ekstraklasa,0,0,0
77002,michal-buchalik,15/16,Fortuna Puchar Polski,1,0,0
77002,michal-buchalik,14/15,Ekstraklasa,36,0,7
77002,michal-buchalik,14/15,Fortuna Puchar Polski,0,0,0
77002,michal-buchalik,13/14,Ekstraklasa,27,0,10
77002,michal-buchalik,12/13,Ekstraklasa,25,0,6
77002,michal-buchalik,12/13,Fortuna Puchar Polski,1,0,1
77002,michal-buchalik,11/12,Ekstraklasa,1,0,0
77002,michal-buchalik,10/11,1 Liga,25,0,7
77002,michal-buchalik,09/10,Fortuna Puchar Polski,2,0,0
77002,michal-buchalik,09/10,Ekstraklasa,4,0,0
