id,name,dates,marketValue
175947,michal-nalepa,2011-01-24,50000
175947,michal-nalepa,2011-07-02,100000
175947,michal-nalepa,2011-08-23,125000
175947,michal-nalepa,2013-01-06,250000
175947,michal-nalepa,2013-04-27,275000
175947,michal-nalepa,2013-07-21,300000
175947,michal-nalepa,2014-02-13,300000
175947,michal-nalepa,2014-07-23,200000
175947,michal-nalepa,2015-02-02,300000
175947,michal-nalepa,2015-07-20,500000
175947,michal-nalepa,2015-11-26,700000
175947,michal-nalepa,2016-05-31,700000
175947,michal-nalepa,2016-09-29,500000
175947,michal-nalepa,2017-02-22,450000
175947,michal-nalepa,2017-07-04,450000
175947,michal-nalepa,2018-01-15,300000
175947,michal-nalepa,2018-07-02,300000
175947,michal-nalepa,2019-01-24,400000
175947,michal-nalepa,2019-06-28,700000
175947,michal-nalepa,2020-01-14,800000
175947,michal-nalepa,2020-04-07,650000
175947,michal-nalepa,2020-08-17,800000
175947,michal-nalepa,2021-01-18,1000000
175947,michal-nalepa,2021-05-20,1500000
175947,michal-nalepa,2021-12-30,1500000
175947,michal-nalepa,2022-06-13,1500000
175947,michal-nalepa,2022-09-28,900000
175947,michal-nalepa,2022-11-15,900000
