id,name,dates,marketValue
320961,tomasz-makowski,2016-07-23,50000
320961,tomasz-makowski,2017-08-15,50000
320961,tomasz-makowski,2018-01-24,75000
320961,tomasz-makowski,2018-07-02,100000
320961,tomasz-makowski,2019-01-24,250000
320961,tomasz-makowski,2019-06-28,400000
320961,tomasz-makowski,2020-01-14,600000
320961,tomasz-makowski,2020-04-07,525000
320961,tomasz-makowski,2020-08-17,750000
320961,tomasz-makowski,2021-01-18,750000
320961,tomasz-makowski,2021-05-20,750000
320961,tomasz-makowski,2021-10-14,1000000
320961,tomasz-makowski,2021-12-30,1000000
320961,tomasz-makowski,2022-06-13,800000
