id,name,season,competition,gamesPlayed,goals
320961,tomasz-makowski,2022,Ekstraklasa,15,1
320961,tomasz-makowski,2022,Fortuna Puchar Polski,1,0
320961,tomasz-makowski,2022,eWinner 2 liga,1,0
320961,tomasz-makowski,2021,Ekstraklasa,15,1
320961,tomasz-makowski,2021,Fortuna Puchar Polski,1,0
320961,tomasz-makowski,2020,Ekstraklasa,19,1
320961,tomasz-makowski,2020,Fortuna Puchar Polski,2,0
320961,tomasz-makowski,2019,Ekstraklasa,28,0
320961,tomasz-makowski,2019,Fortuna Puchar Polski,5,1
320961,tomasz-makowski,2019,Kwalifikacje do Ligi Europy,2,0
320961,tomasz-makowski,2019,Superpuchar,1,0
320961,tomasz-makowski,2018,Ekstraklasa,22,0
320961,tomasz-makowski,2018,Fortuna Puchar Polski,6,2
320961,tomasz-makowski,2017,Fortuna 1 Liga,20,0
320961,tomasz-makowski,2017,Fortuna Puchar Polski,1,0
320961,tomasz-makowski,2016,CLJ - Grupa Zachodnia,27,4
320961,tomasz-makowski,2015,CLJ - Grupa Zachodnia,18,2
320961,tomasz-makowski,2014,1,15.09.2014,D
320961,tomasz-makowski,2014,1,17.09.2014,D
320961,tomasz-makowski,2014,1,21.10.2014,D
320961,tomasz-makowski,2014,1,23.10.2014,D
320961,tomasz-makowski,2014,10,16.02.2015,D
320961,tomasz-makowski,2014,10,27.04.2015,W
320961,tomasz-makowski,2014,11,28.04.2015,D
320961,tomasz-makowski,2014,12,30.04.2015,W
320961,tomasz-makowski,2014,1,04.06.2015,W
320961,tomasz-makowski,2014,1,06.06.2015,W
