id,name,dates,marketValue
42401,artur-jedrzejczyk,2006-07-26,50000
42401,artur-jedrzejczyk,2009-01-09,175000
42401,artur-jedrzejczyk,2010-08-05,400000
42401,artur-jedrzejczyk,2011-01-31,500000
42401,artur-jedrzejczyk,2011-07-17,450000
42401,artur-jedrzejczyk,2012-02-01,800000
42401,artur-jedrzejczyk,2012-08-08,900000
42401,artur-jedrzejczyk,2013-02-06,1100000
42401,artur-jedrzejczyk,2013-06-29,2000000
42401,artur-jedrzejczyk,2014-03-27,2600000
42401,artur-jedrzejczyk,2014-07-30,3000000
42401,artur-jedrzejczyk,2015-02-22,4500000
42401,artur-jedrzejczyk,2015-06-17,3500000
42401,artur-jedrzejczyk,2016-01-09,3000000
42401,artur-jedrzejczyk,2016-03-27,3000000
42401,artur-jedrzejczyk,2016-05-31,2700000
42401,artur-jedrzejczyk,2016-07-14,3500000
42401,artur-jedrzejczyk,2016-12-26,4000000
42401,artur-jedrzejczyk,2017-01-20,4000000
42401,artur-jedrzejczyk,2017-07-04,3000000
42401,artur-jedrzejczyk,2018-01-14,2250000
42401,artur-jedrzejczyk,2018-06-07,1500000
42401,artur-jedrzejczyk,2018-07-02,1500000
42401,artur-jedrzejczyk,2019-01-24,1250000
42401,artur-jedrzejczyk,2019-06-28,850000
42401,artur-jedrzejczyk,2020-01-14,850000
42401,artur-jedrzejczyk,2020-04-07,675000
42401,artur-jedrzejczyk,2020-08-17,1000000
42401,artur-jedrzejczyk,2021-01-18,500000
42401,artur-jedrzejczyk,2021-05-20,350000
42401,artur-jedrzejczyk,2021-12-30,250000
42401,artur-jedrzejczyk,2022-06-13,200000
42401,artur-jedrzejczyk,2022-11-13,300000
